Species_name,GeneN,Type,Plant_cell_wall,Herbivorous,S,D,F,M
Acromyrmex_echinatior,1,Herbivorous,Non-direct,Y,98.4,0.5,0.8,0.3
Acyrthosiphon_pisum,4,Herbivorous,Non-direct,Y,94,3.4,0.5,2.1
Aedes_aegypti,7,Haematophagous,Non,N,93.7,5.3,0.5,0.5
Agrilus_planipennis,29,Herbivorous,Direct,Y,90.7,7.6,0.4,1.3
Anopheles_gambiae,6,Haematophagous,Non,N,97.1,2,0.3,0.6
Anoplophora_glabripennis,44,Herbivorous,Direct,Y,96.6,1.8,1,0.6
Apis_mellifera,1,Herbivorous,Non-direct,Y,99.3,0.1,0.2,0.4
Atta_colombica,1,Herbivorous,Non-direct,Y,98.9,0.4,0.5,0.2
Bombus_terrestris,1,Herbivorous,Non-direct,Y,98.4,0.1,1.1,0.4
Bombyx_mandarina,21,Herbivorous,Direct,Y,93.5,0.5,0.7,5.3
Cephus_cinctus,1,Herbivorous,Direct,Y,98.9,0.2,0.5,0.4
Cimex_lectularius,1,Haematophagous,Non,N,98.3,0.8,0.2,0.7
Copidosoma_floridanum,4,Parasitoid,Non,N,93,2.9,1.3,2.8
Culex_quinquefasciatus,7,Haematophagous,Non,N,90.5,4.4,0.9,4.2
Danaus_plexippus,17,Herbivorous,Direct,Y,95.7,1.8,1.4,1.1
Dendroctonus_ponderosae,23,Herbivorous,Direct,Y,92.3,4.2,1.4,2.1
Drosophila_melanogaster,1,Herbivorous,Non-direct,Y,99.2,0.6,0,0.2
Dufourea_novaeangliae,1,Herbivorous,Non-direct,Y,99.2,0.1,0.4,0.3
Frankliniella_occidentalis,7,Herbivorous,Non-direct,Y,96.7,1.6,0.8,0.9
Harpegnathos_saltator,2,Predatory,Non,N,97.8,1.3,0.4,0.5
Manduca_sexta,25,Herbivorous,Direct,Y,93.5,2.3,2.3,1.9
Musca_domestica,2,Detritivores,Non,N,96.1,1.8,1.1,1
Nasonia_vitripennis,4,Parasitoid,Non,N,97.4,0.8,0.3,1.5
Onthophagus_taurus,13,Detritivores,Non,N,96.2,3.3,0.1,0.4
Orussus_abietinus,5,Parasitoid,Non,N,98.1,0.5,0.4,1
Pediculus_humanus,1,Haematophagous,Non,N,97,0,1.8,1.2
Plutella_xylostella,20,Herbivorous,Direct,Y,75.1,14.7,3.1,7.1
Tribolium_castaneum,13,Herbivorous,Direct,Y,98.5,0.4,0.8,0.3
Zootermopsis_nevadensis,7,Herbivorous,Direct,Y,97.3,0.5,1.6,0.6
Blattella_germanica,7,Ominivorous,Non,N,94.2,2.1,1.7,2
