Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_022906938.1	GH1(20-478)	GH1	GH1	N	3
XP_022906939.1	GH1(20-329)	GH1	GH1	N	3
XP_022913017.1	GH1(48-484)	N	GH1	N	2
XP_022913989.1	GH1(40-501)	GH1	GH1	N	3
XP_022913990.1	GH1(32-495)	GH1	GH1	N	3
XP_022913991.1	GH1(32-495)	GH1	GH1	N	3
XP_022913993.1	GH1(32-461)	GH1	GH1	N	3
XP_022913994.1	GH1(31-494)	GH1	GH1	N	3
XP_022913995.1	GH1(31-490)	GH1	GH1	N	3
XP_022915096.1	GH1(26-489)	GH1	GH1	N	3
XP_022915417.1	GH1(19-482)	GH1	GH1	N	3
XP_022915423.1	GH1(19-482)	GH1	GH1	N	3
XP_022915431.1	GH1(19-482)	GH1	GH1	N	3
XP_022915440.1	GH1(19-482)	GH1	GH1	N	3
XP_022915449.1	GH1(19-482)	GH1	GH1	N	3
XP_022915458.1	GH1(19-482)	GH1	GH1	N	3
XP_022915568.1	GH1(27-491)	GH1	GH1	N	3
XP_022915650.1	GH1(19-481)	GH1	GH1	N	3
XP_022915744.1	GH1(19-481)	GH1	GH1	N	3
XP_022915768.1	GH1(21-484)	GH1	GH1	N	3
XP_022917142.1	GH1(23-418)	N	GH1	N	2
XP_022917213.1	GH1(24-487)	GH1	GH1	N	3
XP_022917226.1	GH1(10-475)	GH1	GH1	N	3
