Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_018564640.1	GH1(23-485)	GH1	GH1	N	3
XP_018564647.1	GH1(23-465)	GH1	GH1	N	3
XP_018565386.1	GH1(26-486)	GH1	GH1	N	3
XP_018565412.1	GH1(68-529)	GH1	GH1	N	3
XP_018565413.1	GH1(27-489)	GH1	GH1	N	3
XP_018565414.1	GH1(17-342)	N	N	N	1
XP_018565416.1	GH1(64-521)	GH1	GH1	N	3
XP_018565422.1	GH1(27-486)	GH1	GH1	N	3
XP_018565423.1	GH1(27-487)	GH1	GH1	N	3
XP_018565424.1	GH1(23-479)	GH1	GH1	N	3
XP_018565428.1	GH1(23-475)	GH1	GH1	N	3
XP_018565430.1	GH1(23-474)	N	GH1	N	2
XP_018565432.1	GH1(23-476)	N	GH1	N	2
XP_018565433.1	GH1(24-476)	N	GH1	N	2
XP_018565434.1	GH1(25-483)	GH1	GH1	N	3
XP_018565435.1	GH1(25-483)	GH1	GH1	N	3
XP_018565438.1	GH1(22-480)	GH1	GH1	N	3
XP_018565439.1	GH1(24-485)	GH1	GH1	N	3
XP_018567100.1	GH1(24-484)	GH1	GH1	N	3
XP_018567960.1	GH1(23-481)	GH1	GH1	N	3
XP_018567975.1	GH1(23-484)	GH1	GH1	N	3
XP_018568746.1	GH1(27-489)	GH1	GH1	N	3
XP_018568747.1	GH1(23-486)	N	GH1	N	2
XP_018568748.1	GH1(23-485)	GH1	GH1	N	3
XP_018568749.1	GH1(23-485)	GH1	GH1	N	3
XP_018568750.1	GH1(23-485)	GH1	GH1	N	3
XP_018568760.1	GH1(21-483)	N	GH1	N	2
XP_018568761.1	GH1(21-483)	N	GH1	N	2
XP_018570324.1	GH1(23-485)	GH1	GH1	N	3
XP_018570851.1	GH1(23-485)	GH1	GH1	N	3
XP_018571131.1	GH1(28-487)	GH1	GH1	N	3
XP_018571865.1	GH1(22-482)	GH1	GH1	N	3
XP_018571866.1	GH1(22-480)	GH1	GH1	N	3
XP_018572133.1	GH1(23-485)	GH1	GH1	N	3
XP_018573206.1	GH1(23-484)	GH1	GH1	N	3
XP_018573207.1	GH1(24-484)	GH1	GH1	N	3
XP_018573208.1	GH1(24-484)	GH1	GH1	N	3
XP_018573214.1	GH1(25-485)	GH1	GH1	N	3
XP_018573472.1	GH1(23-446)	GH1	GH1	N	3
XP_018573473.1	GH1(24-265)	GH1	N	N	2
XP_018573475.1	GH1(24-484)	GH1	GH1	N	3
XP_018573476.1	GH1(24-484)	GH1	GH1	N	3
XP_018573477.2	GH1(24-484)+GH1(533-993)	GH1	GH1	N	3
XP_018573524.1	GH1(23-485)	GH1	GH1	N	3
XP_018573699.1	GH1(26-484)	GH1	GH1	N	3
XP_018573700.1	GH1(25-483)	GH1	GH1	N	3
XP_018575352.1	GH1(23-485)	GH1	GH1	N	3
XP_018576585.1	GH1(33-494)	GH1	GH1	N	3
XP_018576586.1	GH1(1-397)	N	GH1	N	2
XP_023310397.1	GH1(27-487)	GH1	GH1	N	3
XP_023310604.1	GH1(1-449)	GH1	GH1	N	3
XP_023310664.1	GH1(23-485)	GH1	GH1	N	3
XP_023310665.1	GH1(23-485)	GH1	GH1	N	3
XP_023310666.1	GH1(23-486)	N	GH1	N	2
XP_023311341.1	GH1(24-483)	GH1	GH1	N	3
XP_023311342.1	GH1(24-484)	GH1	GH1	N	3
XP_023311343.1	GH1(14-196)	N	N	N	1
XP_023311344.1	GH1(24-484)+GH1(529-985)	GH1	GH1	N	3
XP_023311495.1	GH1(24-484)	GH1	GH1	N	3
XP_023311496.1	GH1(24-484)	GH1	GH1	N	3
XP_023311712.1	GH1(24-477)	GH1	GH1	N	3
XP_023311713.1	GH1(24-265)	GH1	N	N	2
XP_023312165.1	GH1(23-276)	GH1	GH1	N	3
XP_023312484.1	GH1(1-397)	N	GH1	N	2
XP_023312869.1	GH1(24-484)	GH1	GH1	N	3
XP_023312738.1	N	GH1	N	N	1
