Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_026273946.1	AEE62454.1|GH1|	44.5	472	249	8	306	769	28	494	2.0e-122	437.6
XP_026277353.1	AOY34571.1|GH1|	54.6	469	208	2	37	505	31	494	5.8e-156	548.5
XP_026277354.1	AOY34571.1|GH1|	53.9	469	211	2	37	505	31	494	6.4e-155	545.0
XP_026279277.1	AOY34571.1|GH1|	49.1	397	196	5	2	396	102	494	4.1e-117	419.1
XP_026279283.1	AHG54237.1|GH1|	43.9	426	232	3	264	685	31	453	3.1e-103	373.6
XP_026283358.1	AEW46881.1|GH1|	48.4	481	235	6	32	503	20	496	1.2e-139	494.2
XP_026283359.1	AEW46881.1|GH1|	48.4	481	235	6	32	503	20	496	1.2e-139	494.2
XP_026284071.1	BAB91145.1|GH1|3.2.1.21	40.8	500	258	10	40	527	21	494	8.0e-105	378.6
XP_026286599.1	CRL08768.1|GH1|	41.3	489	262	11	38	510	32	511	2.1e-107	387.1
XP_026289622.1	AIA09348.1|GH1|	52.3	474	221	2	38	511	37	505	6.5e-157	551.6
XP_026292938.1	AAG26008.1|GH1|3.2.1.21	41.2	473	264	8	30	493	21	488	2.3e-106	383.6
