Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_032510674.1	GH1(1-423)	GH1	GH1	N	3
XP_032513180.1	GH1(38-504)	GH1	GH1	N	3
XP_032523485.1	GH1(25-488)	GH1	GH1	N	3
XP_032523486.1	GH1(13-476)	GH1	GH1	N	3
XP_032523499.1	GH1(17-449)	GH1	GH1	N	3
XP_032523500.1	GH1(17-341)	GH1	GH1	N	3
XP_032523501.1	GH1(17-478)	GH1	GH1	N	3
XP_032523523.1	GH1(13-473)	GH1	GH1	N	3
XP_032523527.1	GH1(17-483)	GH1	GH1	N	3
XP_032523564.1	GH1(17-450)	GH1	GH1	N	3
XP_032523585.1	GH1(2-466)	GH1	GH1	N	3
XP_032523586.1	GH1(2-401)	GH1	GH1	N	3
XP_032524190.1	GH1(56-498)	N	GH1	N	2
XP_032525939.1	GH1(253-501)	GH1	GH1	N	3
XP_032526253.1	GH1(153-379)	GH1	GH1	N	3
XP_032527041.1	GH1(30-495)	GH1	GH1	N	3
XP_032528702.1	GH1(26-240)	GH1	N	N	2
XP_032528982.1	GH1(23-488)	GH1	GH1	N	3
XP_032529516.1	GH1(30-492)+GH1(531-993)	GH1	GH1	N	3
XP_032529517.1	GH1(1-332)	GH1	GH1	N	3
XP_032529519.1	GH1(27-492)+GH1(545-1003)	GH1	GH1	N	3
XP_032530179.1	GH1(29-487)	GH1	GH1	N	3
