Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_028026026.1	GH1(38-504)	GH1	GH1	N	3
XP_028028070.1	GH1(22-488)	GH1	GH1	N	3
XP_028028071.1	GH1(22-488)	GH1	GH1	N	3
XP_028028072.1	GH1(22-488)	GH1	GH1	N	3
XP_028028205.1	GH1(26-483)	GH1	GH1	N	3
XP_028029940.1	GH1(25-489)	GH1	GH1	N	3
XP_028029941.1	GH1(2-216)	GH1	N	N	2
XP_028029942.1	GH1(2-465)	GH1	GH1	N	3
XP_028029973.1	GH1(23-482)	GH1	GH1	N	3
XP_028029974.1	GH1(24-483)	GH1	GH1	N	3
XP_028030232.1	GH1(6-470)+GH1(511-671)+GH1(675-886)	GH1	GH1	N	3
XP_028035150.1	GH1(28-492)	GH1	GH1	N	3
XP_028036753.1	GH1(1-386)	GH1	GH1	N	3
XP_028036754.1	GH1(137-350)+GH1(359-694)	N	GH1	N	2
XP_028036762.1	GH1(22-482)	GH1	GH1	N	3
XP_028036782.1	GH1(22-485)	GH1	GH1	N	3
XP_028036783.1	GH1(22-452)	GH1	GH1	N	3
XP_028037389.1	GH1(21-484)	GH1	GH1	N	3
XP_028037411.1	GH1(2-463)	GH1	GH1	N	3
XP_028038643.1	GH1(10-473)	GH1	GH1	N	3
XP_028040485.1	GH1(11-472)	GH1	GH1	N	3
XP_028040807.1	GH1(21-485)	GH1	GH1	N	3
XP_028040808.1	GH1(21-485)	GH1	GH1	N	3
XP_028040809.1	GH1(21-485)	GH1	GH1	N	3
XP_028042604.1	GH1(2-213)	GH1	N	N	2
XP_028043690.1	GH1(26-487)	GH1	GH1	N	3
XP_028043691.1	GH1(26-487)	GH1	GH1	N	3
XP_028043767.1	GH1(24-487)	GH1	GH1	N	3
