HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_001943309.2	505	6.7e-125	4	427	8	497	0.986013986013986
GH1.hmm	429	XP_001946297.2	523	6.3e-118	2	427	12	517	0.9906759906759907
GH1.hmm	429	XP_001946340.2	531	4.4e-114	2	427	12	517	0.9906759906759907
GH1.hmm	429	XP_001946492.1	477	6.2e-155	1	425	1	460	0.9883449883449883
GH1.hmm	429	XP_001952406.2	491	2.7e-155	2	425	20	476	0.986013986013986
GH1.hmm	429	XP_003244685.1	502	7.2e-125	4	427	8	497	0.986013986013986
GH1.hmm	429	XP_008189705.2	306	5.4e-76	148	408	11	301	0.6060606060606061
GH1.hmm	429	XP_016659836.1	523	3.4e-118	2	427	12	517	0.9906759906759907
GH1.hmm	429	XP_016660023.1	531	9e-125	4	427	37	526	0.986013986013986
GH1.hmm	429	XP_016661557.1	477	6.2e-155	1	425	1	460	0.9883449883449883
GH1.hmm	429	XP_016661558.1	477	6.2e-155	1	425	1	460	0.9883449883449883
GH1.hmm	429	XP_029345332.1	348	1.8e-80	118	427	1	343	0.7202797202797203
GH1.hmm	429	XP_029345668.1	477	6.2e-155	1	425	1	460	0.9883449883449883
GH1.hmm	429	XP_029345815.1	576	1.7e-139	3	427	18	558	0.9883449883449883
GH1.hmm	429	XP_029347742.1	376	7.7e-74	112	427	45	371	0.7342657342657343
