HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_026313554.1	1030	1.1e-150	2	426	20	485	0.9883449883449883
GH1.hmm	429	XP_026313554.1	1030	1.6e-152	3	427	546	1012	0.9883449883449883
GH1.hmm	429	XP_026316492.1	492	2e-144	4	428	22	483	0.9883449883449883
GH1.hmm	429	XP_026319443.1	532	2.6e-151	3	427	32	497	0.9883449883449883
GH1.hmm	429	XP_026319716.1	275	1.1e-94	4	242	30	274	0.5547785547785548
GH1.hmm	429	XP_026319979.1	512	1.8e-156	2	427	38	500	0.9906759906759907
GH1.hmm	429	XP_026320223.1	499	4.3e-149	2	427	20	485	0.9906759906759907
GH1.hmm	429	XP_026320224.1	482	1.4e-131	2	427	20	468	0.9906759906759907
GH1.hmm	429	XP_026322188.1	325	4.2e-95	10	267	1	269	0.5990675990675991
GH1.hmm	429	XP_026322239.1	545	2.7e-152	2	427	31	494	0.9906759906759907
GH1.hmm	429	XP_026322901.1	511	1.4e-143	2	427	23	482	0.9906759906759907
GH1.hmm	429	XP_026323140.1	532	1.4e-154	4	427	30	491	0.986013986013986
GH1.hmm	429	XP_026323169.1	517	1.8e-157	4	428	24	487	0.9883449883449883
GH1.hmm	429	XP_026324189.1	1012	3.7e-156	3	427	29	491	0.9883449883449883
GH1.hmm	429	XP_026324189.1	1012	1.7e-152	4	427	532	993	0.986013986013986
GH1.hmm	429	XP_026324190.1	556	2.3e-151	4	427	45	506	0.986013986013986
GH1.hmm	429	XP_026324191.1	1033	8.3e-153	3	427	29	510	0.9883449883449883
GH1.hmm	429	XP_026324191.1	1033	7.1e-145	4	424	553	1011	0.9790209790209791
GH1.hmm	429	XP_026331740.1	377	5.7e-110	3	297	28	344	0.6853146853146853
