Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_022906938.1	AEW46878.1|GH1|	49.5	487	235	5	6	483	9	493	2.3e-148	523.1
XP_022906939.1	AEW46878.1|GH1|	54.4	333	142	4	6	330	9	339	4.6e-110	395.6
XP_022913017.1	CAA30802.1|GH1|3.2.1.108|3.2.1.62	41.3	458	255	5	48	493	914	1369	3.4e-104	376.3
XP_022913989.1	AHZ59662.1|GH1|	51.8	473	215	6	38	503	21	487	1.3e-141	500.7
XP_022913990.1	AHZ59662.1|GH1|	47.3	471	232	6	23	483	10	474	8.7e-130	461.5
XP_022913991.1	AHZ59662.1|GH1|	47.3	471	232	6	23	483	10	474	8.7e-130	461.5
XP_022913993.1	AHZ59662.1|GH1|	46.3	449	225	6	23	461	10	452	2.9e-121	433.0
XP_022913994.1	AHZ59662.1|GH1|	46.0	498	256	6	11	502	4	494	1.3e-133	474.2
XP_022913995.1	AJE75671.1|GH1|	46.2	496	258	4	8	497	3	495	5.8e-134	475.3
XP_022915096.1	AOY34571.1|GH1|	44.8	498	260	5	12	501	8	498	1.9e-129	460.3
XP_022915417.1	AIA09348.1|GH1|	55.6	468	206	2	20	487	37	502	1.1e-158	557.4
XP_022915423.1	AIA09348.1|GH1|	55.6	468	206	2	20	487	37	502	1.1e-158	557.4
XP_022915431.1	AIA09348.1|GH1|	55.6	468	206	2	20	487	37	502	1.1e-158	557.4
XP_022915440.1	AIA09348.1|GH1|	55.6	468	206	2	20	487	37	502	1.1e-158	557.4
XP_022915449.1	AIA09348.1|GH1|	55.6	468	206	2	20	487	37	502	1.1e-158	557.4
XP_022915458.1	AIA09348.1|GH1|	55.6	468	206	2	20	487	37	502	1.1e-158	557.4
XP_022915568.1	AIA09348.1|GH1|	47.1	478	235	6	23	492	31	498	3.3e-129	459.5
XP_022915650.1	AAG26008.1|GH1|3.2.1.21	56.9	490	206	3	4	490	6	493	8.1e-178	620.9
XP_022915744.1	AIA09348.1|GH1|	53.6	476	217	3	15	489	31	503	1.3e-154	543.9
XP_022915768.1	AAG26008.1|GH1|3.2.1.21	58.9	475	192	2	20	493	21	493	2.5e-179	625.9
XP_022917142.1	AEW46878.1|GH1|	44.8	426	222	6	1	418	1	421	3.6e-110	396.0
XP_022917213.1	AAG26008.1|GH1|3.2.1.21	48.0	475	238	5	26	496	24	493	2.7e-136	483.0
XP_022917226.1	ADD92156.1|GH1|	47.8	467	238	3	11	476	4	465	2.5e-134	476.5
