HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_030751727.1	250	2e-47	213	427	3	234	0.4988344988344988
GH1.hmm	429	XP_030752208.1	514	9.5e-141	4	427	34	498	0.986013986013986
GH1.hmm	429	XP_030752209.1	508	4.6e-142	4	427	28	492	0.986013986013986
GH1.hmm	429	XP_030752211.1	507	3.4e-142	4	426	27	490	0.9836829836829837
GH1.hmm	429	XP_030753323.1	942	1.9e-134	34	426	2	433	0.9137529137529138
GH1.hmm	429	XP_030753323.1	942	7.4e-165	2	426	472	932	0.9883449883449883
GH1.hmm	429	XP_030753325.1	1008	1.8e-152	3	427	20	475	0.9883449883449883
GH1.hmm	429	XP_030753325.1	1008	8.2e-160	3	427	544	1004	0.9883449883449883
GH1.hmm	429	XP_030753399.1	492	9e-155	3	427	22	485	0.9883449883449883
GH1.hmm	429	XP_030753401.1	483	3.1e-158	3	427	19	479	0.9883449883449883
GH1.hmm	429	XP_030754216.1	449	9.7e-110	7	318	25	373	0.7249417249417249
GH1.hmm	429	XP_030754217.1	498	2.1e-154	3	427	28	491	0.9883449883449883
GH1.hmm	429	XP_030767112.1	483	1.8e-149	2	427	24	472	0.9906759906759907
GH1.hmm	429	XP_030767119.1	479	4e-149	2	427	20	468	0.9906759906759907
GH1.hmm	429	XP_030767120.1	415	1e-113	2	330	20	372	0.7645687645687645
GH1.hmm	429	XP_030767121.1	406	6.5e-124	2	365	20	404	0.8461538461538461
GH1.hmm	429	XP_030767645.1	501	1.2e-146	3	426	27	490	0.986013986013986
GH1.hmm	429	XP_030767746.1	222	1.3e-54	241	423	2	210	0.42424242424242425
