Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_028127908.1	AJE75663.1|GH1|	47.7	474	223	10	23	493	23	474	1.1e-119	427.9
XP_028129562.1	AHZ59650.1|GH1|	56.9	469	201	1	1	469	1	468	3.3e-173	605.5
XP_028132061.1	AAG26008.1|GH1|3.2.1.21	43.4	482	261	7	7	479	6	484	1.0e-113	407.9
XP_028132062.1	AAG26008.1|GH1|3.2.1.21	43.4	482	261	7	7	479	6	484	1.4e-113	407.5
XP_028132800.1	AHZ59647.1|GH1|	65.4	488	168	1	9	496	6	492	1.7e-204	709.5
XP_028132801.1	AHZ59662.1|GH1|	62.1	480	181	1	12	491	11	489	1.8e-193	672.9
XP_028132802.1	AHZ59647.1|GH1|	64.1	488	174	1	6	493	6	492	7.2e-203	704.1
XP_028132803.1	AHZ59647.1|GH1|	64.1	488	174	1	6	493	6	492	7.2e-203	704.1
XP_028132804.1	AHZ59659.1|GH1|	61.4	490	188	1	24	513	22	510	3.5e-200	695.3
XP_028132805.1	AHZ59647.1|GH1|	65.1	484	169	0	8	491	9	492	1.8e-204	709.5
XP_028132806.1	AHZ59647.1|GH1|	61.4	425	152	3	6	419	6	429	3.1e-163	572.8
XP_028133139.1	AHZ59647.1|GH1|	53.7	490	226	1	14	503	6	494	1.8e-169	593.2
XP_028133140.1	AHZ59647.1|GH1|	55.6	495	216	3	6	497	1	494	1.5e-168	590.1
XP_028134781.1	AJE75665.1|GH1|	61.2	467	179	2	41	505	18	484	1.2e-184	643.7
XP_028137807.1	AJE75670.1|GH1|	65.9	499	167	2	1	497	4	501	4.8e-207	718.0
XP_028138419.1	AHZ59670.1|GH1|	55.3	396	176	1	1	395	91	486	3.3e-134	475.7
XP_028139019.1	AHZ59651.1|GH1|3.2.1.147	52.2	490	230	3	4	490	5	493	1.1e-161	567.4
XP_028139020.1	AHZ59651.1|GH1|3.2.1.147	51.3	448	216	1	4	449	5	452	3.9e-147	518.8
XP_028139021.1	AHZ59651.1|GH1|3.2.1.147	53.0	485	225	2	16	497	5	489	1.1e-161	567.4
XP_028139022.1	AHZ59651.1|GH1|3.2.1.147	49.1	485	198	3	16	451	5	489	1.2e-141	500.7
XP_028139023.1	AHZ59654.1|GH1|	49.7	481	231	7	10	480	12	491	1.4e-145	513.8
XP_028142169.1	AHZ59664.1|GH1|	62.9	499	182	2	8	506	1	496	1.0e-196	683.7
XP_028142171.1	CAA81690.1|GH1|3.2.1.108|3.2.1.62	45.6	960	489	14	30	981	895	1829	4.3e-247	852.0
XP_028142751.1	AHZ59647.1|GH1|	67.0	473	156	0	234	706	20	492	9.0e-207	717.6
XP_028143930.1	AHZ59658.1|GH1|	64.7	504	157	2	6	488	10	513	5.7e-200	694.5
XP_028143931.1	AHZ59658.1|GH1|	64.7	504	157	2	6	488	10	513	5.7e-200	694.5
XP_028143932.1	AHZ59658.1|GH1|	52.2	504	135	3	6	403	10	513	8.0e-147	517.7
XP_028143933.1	AHZ59658.1|GH1|	52.2	504	135	3	6	403	10	513	8.0e-147	517.7
XP_028145693.1	AHZ59660.1|GH1|	56.9	483	202	4	6	488	9	485	6.4e-167	584.7
XP_028146876.1	AHZ59649.1|GH1|	56.8	488	206	4	1	487	3	486	1.4e-171	600.1
XP_028146915.1	AJE75664.1|GH1|	71.3	502	141	2	1	499	1	502	2.5e-227	785.4
XP_028146916.1	AJE75664.1|GH1|	74.0	485	123	2	3	484	18	502	1.8e-230	795.8
XP_028149029.1	AHZ59667.1|GH1|	50.6	486	227	4	31	515	27	500	6.3e-152	535.0
XP_028149430.1	AHZ59653.1|GH1|	78.3	494	104	1	5	498	8	498	2.3e-249	858.6
XP_028150563.1	AHZ59657.1|GH1|	52.2	477	220	3	384	859	14	483	1.9e-150	530.8
XP_028151147.1	AHZ59665.1|GH1|	68.6	334	105	0	21	354	17	350	1.6e-148	523.1
XP_028153050.1	AHZ59665.1|GH1|	66.3	481	158	2	1	481	1	477	2.2e-204	709.1
XP_028153058.1	AHZ59665.1|GH1|	49.7	481	119	3	1	362	1	477	4.3e-136	481.9
XP_028153064.1	AHZ59665.1|GH1|	64.4	371	131	1	1	371	108	477	3.2e-155	545.4
