Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_028026026.1	AEW46880.1|GH1|	64.9	518	175	2	7	518	4	520	9.2e-217	750.4
XP_028028070.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	69.4	509	154	1	1	507	1	509	2.6e-224	775.4
XP_028028071.1	ABK24806.1|GH1|	70.9	505	145	1	1	505	1	503	1.5e-227	786.2
XP_028028072.1	ABK24806.1|GH1|	71.3	505	143	1	1	505	1	503	5.1e-228	787.7
XP_028028205.1	AEW46870.1|GH1|	59.7	506	199	2	1	501	1	506	1.5e-187	653.3
XP_028029940.1	AXY94809.1|GH1|	56.3	476	205	2	20	492	16	491	1.3e-167	587.0
XP_028029942.1	AXY94809.1|GH1|	53.6	468	213	3	3	467	24	490	1.3e-153	540.4
XP_028029973.1	AXY94809.1|GH1|	49.1	481	237	4	11	484	11	490	1.1e-137	487.6
XP_028029974.1	AXY94809.1|GH1|	50.6	474	226	4	19	485	18	490	5.6e-142	501.9
XP_028030232.1	CAA30801.1|GH1|3.2.1.108|3.2.1.62	39.6	974	451	15	8	884	903	1836	1.6e-203	707.2
XP_028035150.1	SGZ49394.1|GH1|	74.7	510	127	2	3	511	5	513	1.1e-241	833.2
XP_028036753.1	AXY94809.1|GH1|	47.6	395	199	4	1	388	97	490	1.0e-109	394.4
XP_028036754.1	AXY94809.1|GH1|	42.9	569	205	2	135	701	45	495	5.5e-148	522.3
XP_028036762.1	AXY94809.1|GH1|	52.9	469	216	4	21	484	22	490	2.5e-160	562.8
XP_028036782.1	AXY94809.1|GH1|	56.4	473	203	2	21	491	22	493	8.3e-173	604.4
XP_028036783.1	AXY94809.1|GH1|	56.6	435	187	1	21	453	22	456	1.1e-160	563.9
XP_028037389.1	AXY94809.1|GH1|	55.4	469	207	1	20	486	22	490	2.3e-175	612.8
XP_028037411.1	AXY94809.1|GH1|	56.8	472	201	3	1	469	22	493	4.5e-170	595.1
XP_028038643.1	AXY94809.1|GH1|	54.5	479	214	3	9	483	22	500	3.2e-171	599.0
XP_028040485.1	AEW46878.1|GH1|	64.2	469	166	1	9	477	27	493	1.1e-192	670.2
XP_028040807.1	AAP13852.1|GH1|3.2.1.21	99.4	476	3	0	1	476	1	476	1.1e-296	1015.8
XP_028040808.1	AAP13852.1|GH1|3.2.1.21	99.4	476	3	0	1	476	1	476	1.1e-296	1015.8
XP_028040809.1	AAP13852.1|GH1|3.2.1.21	99.4	476	3	0	1	476	1	476	1.1e-296	1015.8
XP_028043690.1	AEW46871.1|GH1|	71.8	476	132	1	23	496	23	498	2.4e-222	768.8
XP_028043691.1	AEW46871.1|GH1|	71.8	476	132	1	23	496	23	498	2.4e-222	768.8
XP_028043767.1	ABK24806.1|GH1|	65.8	506	169	3	1	505	1	503	1.3e-207	719.9
