HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_019753989.1	481	1.5e-141	3	421	23	481	0.9743589743589743
GH1.hmm	429	XP_019753990.1	463	1e-119	3	360	23	417	0.8321678321678322
GH1.hmm	429	XP_019754716.1	376	1.2e-103	10	293	1	305	0.6596736596736597
GH1.hmm	429	XP_019755616.1	497	1.6e-152	3	426	24	487	0.986013986013986
GH1.hmm	429	XP_019755904.1	505	7.8e-154	3	426	27	495	0.986013986013986
GH1.hmm	429	XP_019755905.1	499	1.2e-153	3	426	28	490	0.986013986013986
GH1.hmm	429	XP_019755906.1	484	2.9e-155	2	427	18	480	0.9906759906759907
GH1.hmm	429	XP_019755907.1	485	9.4e-156	2	427	19	481	0.9906759906759907
GH1.hmm	429	XP_019755936.1	524	1.2e-151	4	426	46	513	0.9836829836829837
GH1.hmm	429	XP_019756934.1	322	2e-100	3	288	19	320	0.6643356643356644
GH1.hmm	429	XP_019756936.1	472	4.5e-141	3	426	19	467	0.986013986013986
GH1.hmm	429	XP_019757344.1	499	5.3e-149	3	426	27	490	0.986013986013986
GH1.hmm	429	XP_019757500.1	519	6.2e-153	2	426	22	484	0.9883449883449883
GH1.hmm	429	XP_019757617.1	423	4.1e-124	2	361	21	417	0.8368298368298368
GH1.hmm	429	XP_019757624.1	486	6.7e-155	2	426	19	481	0.9883449883449883
GH1.hmm	429	XP_019758264.1	498	7.3e-154	2	427	21	487	0.9906759906759907
GH1.hmm	429	XP_019761744.1	519	1e-141	3	427	40	504	0.9883449883449883
GH1.hmm	429	XP_019764449.1	497	1.6e-156	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_019764511.1	489	8.5e-138	4	427	29	482	0.986013986013986
GH1.hmm	429	XP_019764512.1	485	2.9e-144	4	428	29	483	0.9883449883449883
GH1.hmm	429	XP_019764591.1	500	3.7e-156	3	426	31	491	0.986013986013986
GH1.hmm	429	XP_019764592.1	495	2.8e-154	2	425	24	485	0.986013986013986
GH1.hmm	429	XP_019764658.1	498	4.8e-139	3	426	27	492	0.986013986013986
GH1.hmm	429	XP_019764667.1	468	2.4e-148	3	427	19	464	0.9883449883449883
GH1.hmm	429	XP_019766466.1	488	7.7e-155	2	426	21	483	0.9883449883449883
GH1.hmm	429	XP_019772434.1	321	2.2e-100	3	287	13	320	0.662004662004662
