Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_018320177.1	AEW46881.1|GH1|	51.1	470	219	3	23	486	35	499	7.0e-150	528.1
XP_018320181.1	AEW46881.1|GH1|	50.0	494	233	3	14	494	7	499	6.0e-149	525.0
XP_018320182.1	AEW46881.1|GH1|	50.7	489	233	3	7	488	7	494	9.6e-147	517.7
XP_018320184.1	AEW46881.1|GH1|	50.2	466	229	2	30	493	35	499	1.9e-147	520.0
XP_018320185.1	AEW46881.1|GH1|	51.0	463	223	3	30	489	35	496	4.9e-143	505.4
XP_018320187.1	AJE75667.1|GH1|	51.2	467	224	2	24	488	26	490	4.7e-146	515.4
XP_018320189.2	SGZ49394.1|GH1|	51.5	468	222	3	26	488	27	494	1.6e-149	526.9
XP_018320216.1	AJE75667.1|GH1|	53.5	469	214	2	22	488	26	492	2.7e-157	552.7
XP_018320224.1	AOY34571.1|GH1|	51.7	466	218	5	27	488	30	492	3.3e-145	512.7
XP_018320225.2	AFO93777.1|GH1|	34.1	943	373	17	29	730	938	1873	1.6e-153	540.8
XP_018320233.1	SGZ49394.1|GH1|	50.4	468	229	3	26	490	27	494	2.0e-144	510.0
XP_018320779.1	AHZ59647.1|GH1|	52.4	475	220	5	11	482	9	480	1.3e-152	537.3
XP_018320791.1	AJE75667.1|GH1|	48.2	467	229	8	26	488	30	487	4.4e-132	469.2
XP_018321395.1	AEW46878.1|GH1|	49.0	467	229	4	24	485	31	493	6.6e-140	495.0
XP_018322931.1	AOY34571.1|GH1|	53.1	463	214	2	21	481	31	492	1.3e-151	533.9
XP_018330919.1	AJE75667.1|GH1|	53.5	467	212	4	25	489	24	487	8.4e-154	541.2
XP_018332984.1	SGZ49394.1|GH1|	53.5	480	218	3	6	480	12	491	3.2e-158	555.8
XP_018335102.1	AEW67361.1|GH1|	49.8	482	220	7	21	489	4	476	3.4e-139	492.7
XP_025828881.1	AOY34571.1|GH1|	51.4	481	229	4	8	486	16	493	1.5e-147	520.4
XP_025828888.1	AOY34571.1|GH1|	53.7	471	213	3	19	488	27	493	3.1e-153	539.3
XP_025830222.1	AJE75667.1|GH1|	49.9	467	213	4	25	473	24	487	2.2e-138	490.0
XP_025830262.1	AEW46881.1|GH1|	54.0	461	209	3	26	484	35	494	1.2e-154	543.9
XP_025830269.1	SGZ49394.1|GH1|	51.7	468	218	3	32	491	27	494	6.7e-148	521.5
XP_025830270.1	SGZ49394.1|GH1|	51.3	468	220	3	26	485	27	494	6.2e-146	515.0
XP_025830271.1	SGZ49394.1|GH1|	47.7	503	255	5	2	499	5	504	8.2e-138	488.0
XP_025830272.1	SGZ49394.1|GH1|	51.5	468	222	3	26	488	27	494	1.6e-149	526.9
XP_025830274.1	BAB91145.1|GH1|3.2.1.21	49.1	475	233	4	15	483	21	492	7.8e-141	498.0
XP_025830275.1	AEW46881.1|GH1|	54.6	317	144	0	17	333	27	343	7.7e-105	378.3
XP_025830317.1	AAP13852.1|GH1|3.2.1.21	40.7	619	212	8	14	628	8	475	3.1e-129	459.9
XP_025835610.1	AIA09348.1|GH1|	54.6	469	205	5	22	484	32	498	2.3e-154	543.1
XP_025835611.1	AIA09348.1|GH1|	53.7	469	210	4	21	484	32	498	2.2e-152	536.6
XP_025835618.1	AIA09348.1|GH1|	51.0	473	220	5	22	490	32	496	2.6e-140	496.5
