Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_021183317.1	GH1(23-482)	GH1	GH1	N	3
XP_021186007.1	GH1(29-491)	GH1	GH1	N	3
XP_021191415.1	GH1(38-504)	GH1	GH1	N	3
XP_021191416.1	GH1(24-490)	GH1	GH1	N	3
XP_021191417.1	GH1(23-489)	GH1	GH1	N	3
XP_021191418.1	GH1(23-489)	GH1	GH1	N	3
XP_021191419.1	GH1(23-489)	GH1	GH1	N	3
XP_021191446.1	GH1(22-488)+GH1(522-987)	GH1	GH1	N	3
XP_021191447.1	GH1(22-487)+GH1(537-1000)	GH1	GH1	N	3
XP_021194049.1	GH1(22-486)	GH1	GH1	N	3
XP_021194050.1	GH1(22-486)	GH1	GH1	N	3
XP_021194593.1	GH1(35-492)	GH1	GH1	N	3
XP_021194605.1	GH1(34-494)	GH1	GH1	N	3
XP_021196645.1	GH1(31-494)	GH1	GH1	N	3
XP_021196646.1	GH1(37-504)	GH1	GH1	N	3
XP_021196647.1	GH1(31-498)	GH1	GH1	N	3
XP_021196648.1	GH1(30-497)	GH1	GH1	N	3
XP_021196985.1	GH1(25-490)	GH1	GH1	N	3
XP_021197047.1	GH1(18-477)	GH1	GH1	N	3
XP_021197058.1	GH1(23-485)	GH1	GH1	N	3
XP_021197062.1	GH1(22-479)	GH1	GH1	N	3
XP_021197068.1	GH1(151-398)+GH1(413-878)	GH1	GH1	N	3
XP_021200129.1	GH1(23-486)	GH1	GH1	N	3
XP_021200470.1	GH1(30-494)	GH1	GH1	N	3
XP_021200637.1	GH1(35-504)	GH1	GH1	N	3
XP_021200721.1	GH1(36-505)	GH1	GH1	N	3
