Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_027837388.1	GH1(7-497)	GH1	N	N	2
XP_027837389.1	GH1(6-496)	GH1	N	N	2
XP_027837390.1	GH1(7-499)	GH1	N	N	2
XP_027837401.1	GH1(19-522)	GH1	N	N	2
XP_027837404.1	GH1(14-520)	GH1	N	N	2
XP_027837405.1	GH1(14-433)	N	N	N	1
XP_027837406.1	GH1(14-240)	GH1	N	N	2
XP_027837408.1	GH1(5-212)	N	N	N	1
XP_027837835.1	GH1(32-343)	N	N	N	1
XP_027839518.1	GH1(1-460)	GH1	GH1	N	3
XP_027839519.1	GH1(1-460)	GH1	GH1	N	3
XP_027839550.1	GH1(1-370)	GH1	GH1	N	3
XP_027839551.1	GH1(38-498)	GH1	GH1	N	3
XP_027839553.1	GH1(38-498)	GH1	GH1	N	3
XP_027839554.1	GH1(38-490)	GH1	GH1	N	3
XP_027839555.1	GH1(1-452)	GH1	GH1	N	3
XP_027839749.1	GH1(1-496)	GH1	GH1	N	3
XP_027839750.1	GH1(1-496)	GH1	GH1	N	3
XP_027839751.1	GH1(42-460)	GH1	GH1	N	3
XP_027839752.1	GH1(1-244)	GH1	N	N	2
XP_027844999.1	GH1(200-638)	GH1	N	N	2
