Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_032510674.1	AEW46881.1|GH1|	63.7	422	152	1	1	422	40	460	9.6e-172	600.5
XP_032513180.1	BAG30785.1|GH1|	73.1	502	134	1	21	521	30	531	6.8e-236	813.9
XP_032523485.1	AEW46871.1|GH1|	72.9	510	137	1	1	510	1	509	6.8e-236	813.9
XP_032523486.1	AEW46871.1|GH1|	75.1	489	121	1	10	498	22	509	1.5e-235	812.8
XP_032523499.1	ABK24806.1|GH1|	63.9	446	155	2	8	449	9	452	6.2e-185	644.4
XP_032523500.1	ABK24806.1|GH1|	64.3	364	126	1	8	367	9	372	1.8e-150	529.6
XP_032523501.1	ABK24806.1|GH1|	70.1	505	139	5	1	495	1	503	4.4e-216	748.0
XP_032523523.1	AEW46870.1|GH1|	62.0	489	185	1	5	492	18	506	5.8e-200	694.5
XP_032523527.1	ABK24806.1|GH1|	72.6	497	130	2	8	500	9	503	1.9e-227	785.8
XP_032523564.1	ABK24806.1|GH1|	73.2	447	114	2	8	450	9	453	1.7e-206	716.1
XP_032523585.1	AEW46881.1|GH1|	50.8	476	229	4	1	475	32	503	7.4e-144	508.1
XP_032523586.1	AEW46881.1|GH1|	51.6	411	194	4	1	410	97	503	8.1e-123	438.0
XP_032524190.1	AXY94809.1|GH1|	49.1	479	237	4	26	500	15	490	1.4e-138	490.7
XP_032525939.1	AXY94809.1|GH1|	49.7	481	217	8	56	514	23	500	7.1e-137	485.0
XP_032526253.1	AXY94809.1|GH1|	44.5	463	149	3	23	377	23	485	4.2e-118	422.2
XP_032527041.1	SGZ49394.1|GH1|	74.2	530	135	2	1	529	1	529	8.7e-247	850.1
XP_032528982.1	AAP13852.1|GH1|3.2.1.21	81.6	472	87	0	7	478	5	476	1.2e-250	862.8
XP_032529516.1	ATP16791.1|GH1|	42.2	973	514	19	31	990	1804	2741	3.0e-227	786.2
XP_032529517.1	AEW46881.1|GH1|	58.9	375	127	3	1	350	139	511	5.6e-133	471.5
XP_032529519.1	BAF94233.1|GH1|	41.4	1000	518	17	31	1019	908	1850	8.1e-225	778.1
XP_032530179.1	AEW46867.1|GH1|	65.6	480	161	3	29	506	28	505	7.7e-200	694.1
