HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_021923688.1	1064	4.2e-150	3	427	21	483	0.9883449883449883
GH1.hmm	429	XP_021923688.1	1064	2.1e-153	4	427	584	1045	0.986013986013986
GH1.hmm	429	XP_021923692.1	457	1.8e-145	28	428	10	445	0.9324009324009324
GH1.hmm	429	XP_021923725.1	1012	2.6e-158	4	427	39	499	0.986013986013986
GH1.hmm	429	XP_021923725.1	1012	6.2e-162	4	427	539	999	0.986013986013986
GH1.hmm	429	XP_021923730.1	555	2.6e-158	3	427	22	474	0.9883449883449883
GH1.hmm	429	XP_021923731.1	480	1.9e-88	3	216	22	236	0.4965034965034965
GH1.hmm	429	XP_021923731.1	480	5e-51	276	427	233	399	0.351981351981352
GH1.hmm	429	XP_021932743.1	1056	1.3e-152	3	427	27	489	0.9883449883449883
GH1.hmm	429	XP_021932743.1	1056	5.8e-149	4	427	568	1034	0.986013986013986
GH1.hmm	429	XP_021937620.1	602	3.1e-144	4	427	84	543	0.986013986013986
GH1.hmm	429	XP_021938454.1	582	2.8e-144	4	427	64	523	0.986013986013986
GH1.hmm	429	XP_021942206.1	547	5.7e-155	2	427	20	481	0.9906759906759907
GH1.hmm	429	XP_021942296.1	547	5.7e-155	2	427	20	481	0.9906759906759907
GH1.hmm	429	XP_021942419.1	547	5.7e-155	2	427	20	481	0.9906759906759907
