HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_030020991.1	504	3e-150	2	427	22	485	0.9906759906759907
GH1.hmm	429	XP_030025072.1	1428	2.1e-151	3	427	19	481	0.9883449883449883
GH1.hmm	429	XP_030025072.1	1428	9.1e-154	3	427	947	1409	0.9883449883449883
GH1.hmm	429	XP_030025073.1	1014	4.1e-153	3	427	30	492	0.9883449883449883
GH1.hmm	429	XP_030025073.1	1014	1.2e-150	3	427	533	995	0.9883449883449883
GH1.hmm	429	XP_030026236.1	521	3e-141	4	427	23	486	0.986013986013986
GH1.hmm	429	XP_030026240.1	490	1.7e-135	4	427	22	483	0.986013986013986
GH1.hmm	429	XP_030026255.1	491	8.4e-149	4	427	22	485	0.986013986013986
GH1.hmm	429	XP_030026258.1	490	2.2e-146	4	427	22	485	0.986013986013986
GH1.hmm	429	XP_030026259.1	473	5.4e-143	4	427	22	468	0.986013986013986
GH1.hmm	429	XP_030026260.1	522	7.4e-145	4	427	52	516	0.986013986013986
GH1.hmm	429	XP_030026262.1	509	6.8e-145	4	427	39	503	0.986013986013986
GH1.hmm	429	XP_030026263.1	494	2.5e-143	4	427	22	483	0.986013986013986
GH1.hmm	429	XP_030026264.1	985	3.3e-147	4	427	22	485	0.986013986013986
GH1.hmm	429	XP_030026264.1	985	1.6e-144	4	428	514	978	0.9883449883449883
GH1.hmm	429	XP_030026265.1	480	6e-147	4	427	22	475	0.986013986013986
GH1.hmm	429	XP_030026267.1	488	1.7e-145	4	427	22	483	0.986013986013986
GH1.hmm	429	XP_030026268.1	458	1.2e-143	4	427	22	453	0.986013986013986
GH1.hmm	429	XP_030026269.1	386	1.8e-92	4	241	22	265	0.5524475524475524
GH1.hmm	429	XP_030026270.1	500	2.3e-140	4	426	23	485	0.9836829836829837
GH1.hmm	429	XP_030026885.1	529	1.9e-152	3	427	29	492	0.9883449883449883
GH1.hmm	429	XP_030029896.1	512	2e-150	3	427	24	485	0.9883449883449883
GH1.hmm	429	XP_030032528.1	499	2.7e-151	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_030032537.1	499	2.7e-151	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_030032546.1	412	8e-115	89	427	22	396	0.7878787878787878
GH1.hmm	429	XP_030032559.1	498	1.1e-150	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_030032573.1	498	1e-148	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_030032583.1	487	9.2e-149	3	427	11	472	0.9883449883449883
GH1.hmm	429	XP_030033142.1	513	1.5e-151	3	427	27	491	0.9883449883449883
GH1.hmm	429	XP_030035516.1	1037	4.4e-156	3	427	32	496	0.9883449883449883
GH1.hmm	429	XP_030035516.1	1037	9.2e-157	3	427	554	1018	0.9883449883449883
GH1.hmm	429	XP_030037279.1	505	4.6e-153	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_030037280.1	502	4.5e-153	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_030037524.1	507	9.5e-151	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_030037804.1	513	1.6e-143	3	427	35	498	0.9883449883449883
GH1.hmm	429	XP_030037805.1	500	1.5e-143	3	427	22	485	0.9883449883449883
GH1.hmm	429	XP_030037806.1	486	1.3e-143	3	427	8	471	0.9883449883449883
GH1.hmm	429	XP_030039701.1	232	5.2e-90	2	208	20	230	0.4801864801864802
GH1.hmm	429	XP_030039800.1	215	7.4e-85	2	183	20	202	0.4219114219114219
GH1.hmm	429	XP_030041345.1	519	6.3e-151	3	427	38	504	0.9883449883449883
