Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_013182836.1	GH1(33-497)	GH1	GH1	N	3
XP_013185165.1	GH1(25-488)	GH1	GH1	N	3
XP_013188038.1	GH1(30-490)	GH1	GH1	N	3
XP_013188067.1	GH1(33-491)	GH1	GH1	N	3
XP_013189559.1	GH1(29-491)+GH1(536-998)	GH1	GH1	N	3
XP_013190175.1	GH1(34-502)	GH1	GH1	N	3
XP_013193075.1	GH1(22-488)	GH1	GH1	N	3
XP_013194175.1	GH1(28-492)	GH1	GH1	N	3
XP_013194176.1	GH1(28-492)	GH1	GH1	N	3
XP_013194729.1	GH1(34-497)	GH1	GH1	N	3
XP_013194730.1	GH1(31-494)	GH1	GH1	N	3
XP_013200045.1	GH1(23-489)	GH1	GH1	N	3
XP_013200053.1	GH1(23-487)	GH1	GH1	N	3
XP_013201179.1	GH1(33-497)+GH1(563-1025)	GH1	GH1	N	3
XP_013200046.1	N	GH1	N	N	1
