HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_021946758.1	495	2.6e-155	3	428	29	490	0.9906759906759907
GH1.hmm	429	XP_021951691.1	507	2.7e-133	4	428	44	502	0.9883449883449883
GH1.hmm	429	XP_021952145.1	520	3.2e-158	3	428	24	514	0.9906759906759907
GH1.hmm	429	XP_021952675.1	505	2.2e-158	3	428	37	501	0.9906759906759907
GH1.hmm	429	XP_021958966.1	484	3.9e-122	4	428	26	481	0.9883449883449883
GH1.hmm	429	XP_021959021.1	496	5.1e-144	4	428	31	494	0.9883449883449883
GH1.hmm	429	XP_021959023.1	503	1.7e-147	4	428	28	491	0.9883449883449883
GH1.hmm	429	XP_021959703.1	361	4e-68	19	238	80	290	0.5104895104895105
GH1.hmm	429	XP_021960669.1	366	2.3e-52	180	400	96	354	0.5128205128205128
GH1.hmm	429	XP_021960701.1	679	1.5e-130	4	393	33	461	0.9067599067599068
GH1.hmm	429	XP_021961403.1	500	7.4e-160	2	428	26	490	0.993006993006993
GH1.hmm	429	XP_021961442.1	224	6e-81	4	180	32	209	0.41025641025641024
GH1.hmm	429	XP_021961902.1	560	2.2e-154	3	428	28	503	0.9906759906759907
GH1.hmm	429	XP_021963506.1	501	1.5e-149	4	428	27	493	0.9883449883449883
GH1.hmm	429	XP_021963511.1	498	7e-147	4	428	27	490	0.9883449883449883
GH1.hmm	429	XP_021965144.1	304	7.2e-66	173	428	7	301	0.5944055944055944
GH1.hmm	429	XP_021965145.1	199	1.9e-39	236	391	11	195	0.3613053613053613
GH1.hmm	429	XP_021965237.1	594	9.8e-152	3	428	80	545	0.9906759906759907
GH1.hmm	429	XP_021965239.1	496	1.5e-157	3	428	31	492	0.9906759906759907
GH1.hmm	429	XP_021965243.1	503	8.7e-158	3	428	28	493	0.9906759906759907
GH1.hmm	429	XP_021965263.1	523	7e-157	3	428	31	492	0.9906759906759907
GH1.hmm	429	XP_021965266.1	460	3.9e-94	3	427	18	446	0.9883449883449883
GH1.hmm	429	XP_021965304.1	484	3.4e-159	4	428	11	479	0.9883449883449883
GH1.hmm	429	XP_021965305.1	484	3.4e-159	4	428	11	479	0.9883449883449883
