Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_027839518.1	AAL25999.1|GH1|3.2.1.147	80.1	463	92	0	1	463	1	463	6.3e-241	830.5
XP_027839519.1	AAL25999.1|GH1|3.2.1.147	80.1	463	92	0	1	463	1	463	6.3e-241	830.5
XP_027839550.1	AAL25999.1|GH1|3.2.1.147	81.7	371	68	0	1	371	1	371	9.2e-195	676.8
XP_027839551.1	AAL25999.1|GH1|3.2.1.147	74.1	464	119	1	38	501	1	463	1.9e-219	759.2
XP_027839553.1	AAL25999.1|GH1|3.2.1.147	74.1	464	119	1	38	501	1	463	1.9e-219	759.2
XP_027839554.1	AAL25999.1|GH1|3.2.1.147	73.5	464	114	2	38	493	1	463	1.7e-215	746.1
XP_027839555.1	AAL25999.1|GH1|3.2.1.147	73.8	455	118	1	1	455	10	463	6.5e-214	740.7
XP_027839749.1	AJE75661.1|GH1|	44.1	503	236	6	1	501	27	486	2.5e-121	433.3
XP_027839750.1	AJE75661.1|GH1|	44.1	503	236	6	1	501	27	486	2.5e-121	433.3
XP_027839751.1	AJE75661.1|GH1|	46.7	422	220	4	46	465	68	486	9.7e-112	401.4
