HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_028127908.1	538	1.9e-118	2	427	30	492	0.9906759906759907
GH1.hmm	429	XP_028129562.1	469	7.4e-158	2	427	7	466	0.9906759906759907
GH1.hmm	429	XP_028132061.1	485	8.7e-136	4	427	24	479	0.986013986013986
GH1.hmm	429	XP_028132062.1	485	8.7e-136	4	427	24	479	0.986013986013986
GH1.hmm	429	XP_028132800.1	498	1.9e-166	3	425	27	486	0.9836829836829837
GH1.hmm	429	XP_028132801.1	496	4e-164	2	426	24	486	0.9883449883449883
GH1.hmm	429	XP_028132802.1	495	1.9e-167	3	425	24	483	0.9836829836829837
GH1.hmm	429	XP_028132803.1	495	1.9e-167	3	425	24	483	0.9836829836829837
GH1.hmm	429	XP_028132804.1	519	1.6e-164	2	426	26	487	0.9883449883449883
GH1.hmm	429	XP_028132805.1	512	1.5e-165	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_028132806.1	603	4.9e-133	3	375	24	420	0.8671328671328671
GH1.hmm	429	XP_028132806.1	603	1.1e-49	241	396	421	603	0.3613053613053613
GH1.hmm	429	XP_028133139.1	503	1.6e-163	2	426	30	491	0.9883449883449883
GH1.hmm	429	XP_028133140.1	497	1.3e-161	2	426	24	485	0.9883449883449883
GH1.hmm	429	XP_028134781.1	509	3.6e-157	3	426	43	502	0.986013986013986
GH1.hmm	429	XP_028137807.1	497	1.9e-147	3	426	23	486	0.986013986013986
GH1.hmm	429	XP_028138419.1	396	7.6e-119	70	428	1	393	0.8344988344988346
GH1.hmm	429	XP_028139019.1	515	2.7e-141	3	427	23	483	0.9883449883449883
GH1.hmm	429	XP_028139020.1	450	2.8e-125	3	396	23	450	0.916083916083916
GH1.hmm	429	XP_028139021.1	527	1.5e-141	3	427	35	495	0.9883449883449883
GH1.hmm	429	XP_028139022.1	481	3.9e-122	3	427	35	449	0.9883449883449883
GH1.hmm	429	XP_028139023.1	513	4.4e-147	3	427	22	478	0.9883449883449883
GH1.hmm	429	XP_028142169.1	507	2.3e-152	2	426	33	495	0.9883449883449883
GH1.hmm	429	XP_028142171.1	988	2.1e-144	5	425	30	492	0.9790209790209791
GH1.hmm	429	XP_028142171.1	988	1.9e-153	2	426	517	979	0.9883449883449883
GH1.hmm	429	XP_028142751.1	708	9.8e-47	146	298	1	186	0.3543123543123543
GH1.hmm	429	XP_028142751.1	708	4.4e-166	3	425	237	696	0.9836829836829837
GH1.hmm	429	XP_028143930.1	496	1e-149	2	427	22	480	0.9906759906759907
GH1.hmm	429	XP_028143931.1	496	1e-149	2	427	22	480	0.9906759906759907
GH1.hmm	429	XP_028143932.1	411	1.4e-98	109	427	46	395	0.7412587412587412
GH1.hmm	429	XP_028143933.1	411	1.4e-98	109	427	46	395	0.7412587412587412
GH1.hmm	429	XP_028145690.1	194	3e-52	90	243	33	192	0.35664335664335667
GH1.hmm	429	XP_028145693.1	497	1.4e-146	5	425	23	485	0.9790209790209791
GH1.hmm	429	XP_028146172.1	228	3e-46	214	401	1	217	0.4358974358974359
GH1.hmm	429	XP_028146173.1	330	2.3e-89	2	248	33	286	0.5734265734265734
GH1.hmm	429	XP_028146876.1	487	2.2e-155	2	426	26	478	0.9883449883449883
GH1.hmm	429	XP_028146915.1	502	9.5e-153	2	427	32	493	0.9906759906759907
GH1.hmm	429	XP_028146916.1	487	1.3e-152	2	427	17	478	0.9906759906759907
GH1.hmm	429	XP_028149029.1	535	5.3e-131	2	426	33	505	0.9883449883449883
GH1.hmm	429	XP_028149430.1	498	3.9e-151	3	426	25	487	0.986013986013986
GH1.hmm	429	XP_028150563.1	874	1.4e-115	4	425	395	851	0.9813519813519813
GH1.hmm	429	XP_028151147.1	354	2.1e-102	2	297	24	327	0.6876456876456877
GH1.hmm	429	XP_028153050.1	482	2.1e-147	2	427	23	474	0.9906759906759907
GH1.hmm	429	XP_028153058.1	363	1.3e-64	212	427	109	355	0.5011655011655012
GH1.hmm	429	XP_028153064.1	372	3.6e-102	92	427	5	364	0.7808857808857809
GH1.hmm	429	XP_028153289.1	307	1.1e-99	3	272	24	301	0.627039627039627
GH1.hmm	429	XP_028154745.1	252	8.6e-81	2	212	34	248	0.48951048951048953
