Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_018320177.1	GH1(21-481)	GH1	GH1	N	3
XP_018320179.1	GH1(2-242)	GH1	N	N	2
XP_018320181.1	GH1(29-489)	GH1	GH1	N	3
XP_018320182.1	GH1(28-488)	GH1	GH1	N	3
XP_018320184.1	GH1(28-488)	GH1	GH1	N	3
XP_018320185.1	GH1(27-486)	GH1	GH1	N	3
XP_018320187.1	GH1(25-482)	GH1	GH1	N	3
XP_018320189.2	GH1(28-488)	GH1	GH1	N	3
XP_018320216.1	GH1(23-483)	GH1	GH1	N	3
XP_018320224.1	GH1(26-486)	GH1	GH1	N	3
XP_018320225.2	GH1(27-458)+GH1(489-733)	GH1	GH1	N	3
XP_018320233.1	GH1(28-490)	GH1	GH1	N	3
XP_018320779.1	GH1(24-486)	GH1	GH1	N	3
XP_018320791.1	GH1(25-488)	GH1	GH1	N	3
XP_018320797.1	GH1(2-210)	N	N	N	1
XP_018321395.1	GH1(22-479)	GH1	GH1	N	3
XP_018322931.1	GH1(20-479)	GH1	GH1	N	3
XP_018330919.1	GH1(28-489)	GH1	GH1	N	3
XP_018330920.1	GH1(2-225)	N	N	N	1
XP_018332984.1	GH1(24-483)	GH1	GH1	N	3
XP_018335102.1	GH1(23-476)	GH1	GH1	N	3
XP_025828881.1	GH1(20-484)	GH1	GH1	N	3
XP_025828888.1	GH1(23-485)	GH1	GH1	N	3
XP_025830222.1	GH1(28-473)	GH1	GH1	N	3
XP_025830262.1	GH1(26-484)	GH1	GH1	N	3
XP_025830269.1	GH1(34-491)	GH1	GH1	N	3
XP_025830270.1	GH1(28-485)	GH1	GH1	N	3
XP_025830271.1	GH1(28-489)	GH1	GH1	N	3
XP_025830272.1	GH1(28-488)	GH1	GH1	N	3
XP_025830274.1	GH1(23-479)	GH1	GH1	N	3
XP_025830275.1	GH1(23-346)	GH1	GH1	N	3
XP_025830276.1	GH1(28-373)	GH1	N	N	2
XP_025830317.1	GH1(28-348)+GH1(397-637)	GH1	GH1	N	3
XP_025835108.1	GH1(1-316)	N	N	N	1
XP_025835610.1	GH1(24-482)	GH1	GH1	N	3
XP_025835611.1	GH1(23-482)	GH1	GH1	N	3
XP_025835618.1	GH1(24-490)	GH1	GH1	N	3
