Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_023934074.1	AAP13852.1|GH1|3.2.1.21	85.2	461	68	0	66	526	16	476	2.6e-252	868.6
XP_023934075.1	AAP13852.1|GH1|3.2.1.21	85.2	461	68	0	66	526	16	476	2.5e-252	868.6
XP_023934076.1	AAP13852.1|GH1|3.2.1.21	85.2	461	68	0	66	526	16	476	2.5e-252	868.6
XP_023934077.1	AAP13852.1|GH1|3.2.1.21	85.2	461	68	0	66	526	16	476	2.5e-252	868.6
XP_023934078.1	AAP13852.1|GH1|3.2.1.21	83.6	476	78	0	1	476	1	476	6.8e-255	877.1
XP_023935446.1	ABK24806.1|GH1|	69.9	505	148	2	1	503	1	503	7.3e-219	757.3
XP_023935450.1	ABK24806.1|GH1|	69.1	505	152	2	1	503	1	503	3.1e-217	751.9
XP_023935452.1	ABK24806.1|GH1|	67.2	506	162	2	1	505	1	503	1.2e-213	740.0
XP_023935490.1	ABK24806.1|GH1|	69.3	505	152	2	1	504	1	503	2.8e-218	755.4
XP_023935495.1	ABK24806.1|GH1|	68.1	505	157	2	1	503	1	503	2.9e-215	745.3
XP_023935496.1	ABK24806.1|GH1|	70.3	482	141	1	18	499	24	503	2.2e-215	745.7
XP_023935498.1	AEW46870.1|GH1|	58.3	516	212	3	7	521	1	514	3.4e-190	662.1
XP_023936329.1	AXY94809.1|GH1|	56.5	469	203	1	22	489	22	490	7.8e-171	597.8
XP_023936365.1	NP_001074547.1|GH1|	37.2	1042	531	14	24	1049	906	1840	2.3e-209	726.9
XP_023941626.1	AEW46878.1|GH1|	65.9	493	161	3	3	492	5	493	3.6e-210	728.4
XP_023947340.1	ATP16791.1|GH1|	45.4	977	480	19	33	993	1804	2743	9.8e-247	850.9
XP_023947354.1	AFO93777.1|GH1|	43.3	967	505	15	33	986	938	1874	9.1e-237	817.8
XP_023948567.1	AEW46867.1|GH1|	48.0	498	158	3	1	398	4	500	1.1e-129	460.7
XP_023948571.1	AEW46867.1|GH1|	65.8	482	161	2	28	509	23	500	7.1e-193	671.0
XP_023948572.1	AEW46867.1|GH1|	66.0	482	160	2	28	509	23	500	1.1e-193	673.7
XP_023948573.1	AEW46867.1|GH1|	65.0	452	154	2	8	459	53	500	4.9e-177	618.2
XP_023948991.1	BAG30785.1|GH1|	73.9	491	128	0	21	511	31	521	6.0e-232	800.8
XP_023949451.1	AEW46881.1|GH1|	64.8	469	164	1	6	474	29	496	5.6e-192	667.9
XP_023949452.1	CAA81690.1|GH1|3.2.1.108|3.2.1.62	42.0	1002	495	18	29	1014	895	1826	3.0e-227	786.2
XP_023949467.1	AEW46867.1|GH1|	67.5	265	86	0	16	280	10	274	1.5e-109	393.3
XP_023950089.1	AEW46881.1|GH1|	53.1	475	212	5	1	471	32	499	1.8e-150	530.0
XP_023950090.1	AEW46881.1|GH1|	53.0	440	196	5	1	436	67	499	3.6e-137	485.7
XP_023950091.1	AEW46881.1|GH1|	53.0	440	196	5	1	436	67	499	3.6e-137	485.7
XP_023950092.1	AEW46881.1|GH1|	54.0	435	189	5	1	431	32	459	5.4e-141	498.4
XP_023950607.1	AXY94809.1|GH1|	52.7	469	221	1	43	510	22	490	3.0e-157	552.7
XP_023950608.1	AXY94809.1|GH1|	52.7	469	221	1	32	499	22	490	3.0e-157	552.7
XP_023950609.1	AXY94809.1|GH1|	51.8	440	211	1	2	440	51	490	4.4e-144	508.8
XP_023951152.1	AEW46867.1|GH1|	62.6	452	168	1	1	452	6	456	3.3e-178	622.1
XP_023951206.1	AEW46871.1|GH1|	55.2	462	104	1	2	360	48	509	1.1e-150	530.4
XP_023951779.1	AXY94809.1|GH1|	50.1	497	244	4	3	496	2	497	2.8e-155	546.2
XP_023951780.1	AXY94809.1|GH1|	51.4	473	223	4	22	490	21	490	1.2e-150	530.8
XP_023951781.1	AXY94809.1|GH1|	51.4	473	223	4	22	490	21	490	1.2e-150	530.8
XP_023951782.1	AXY94809.1|GH1|	51.4	473	223	4	17	485	21	490	2.0e-150	530.0
XP_023951871.1	SGZ49394.1|GH1|	77.2	509	111	4	4	508	2	509	3.4e-243	838.2
XP_023952311.1	AXY94809.1|GH1|	52.3	486	230	2	6	489	5	490	1.3e-157	553.9
XP_023952689.1	AEW46867.1|GH1|	62.2	482	181	1	9	490	11	491	3.9e-188	655.2
XP_023952790.1	AXY94809.1|GH1|	49.8	496	245	3	5	497	5	499	2.7e-155	546.2
XP_023952801.1	AXY94809.1|GH1|	51.8	477	226	3	5	478	5	480	1.4e-155	547.0
XP_023953337.1	AXY94809.1|GH1|	50.9	456	223	1	2	456	35	490	2.3e-148	523.1
XP_023953689.1	AEW46867.1|GH1|	67.5	286	91	1	7	292	6	289	7.7e-120	427.6
