Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_008195643.1	GH1(28-489)	GH1	GH1	N	3
XP_008195645.1	GH1(22-486)	GH1	GH1	N	3
XP_015833762.1	GH1(2-435)	GH1	GH1	N	3
XP_015837060.1	GH1(24-486)+GH1(541-1004)	GH1	GH1	N	3
XP_015837080.1	GH1(23-479)	GH1	GH1	N	3
XP_015837318.1	GH1(22-486)	GH1	GH1	N	3
XP_015839336.1	GH1(26-490)	GH1	GH1	N	3
XP_015839337.1	GH1(26-490)	GH1	GH1	N	3
XP_966332.1	GH1(21-477)	GH1	GH1	N	3
XP_968318.1	GH1(26-490)	GH1	GH1	N	3
XP_970224.1	GH1(22-481)	GH1	GH1	N	3
XP_972032.1	GH1(26-490)	GH1	GH1	N	3
XP_972082.1	GH1(24-486)	GH1	GH1	N	3
XP_972134.1	GH1(24-486)	GH1	GH1	N	3
XP_972182.1	GH1(21-480)	GH1	GH1	N	3
XP_972231.1	GH1(24-485)	GH1	GH1	N	3
XP_972386.3	GH1(37-498)	GH1	GH1	N	3
XP_975665.2	GH1(22-478)	GH1	GH1	N	3
XP_975666.1	GH1(22-484)	GH1	GH1	N	3
