HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_013182836.1	516	1.4e-157	3	427	33	497	0.9883449883449883
GH1.hmm	429	XP_013185165.1	504	1.1e-142	2	426	25	488	0.9883449883449883
GH1.hmm	429	XP_013188038.1	504	1.8e-156	4	426	30	490	0.9836829836829837
GH1.hmm	429	XP_013188067.1	518	1.1e-139	2	427	33	491	0.9906759906759907
GH1.hmm	429	XP_013189559.1	1017	6.1e-153	3	427	29	491	0.9883449883449883
GH1.hmm	429	XP_013189559.1	1017	4.7e-154	3	427	536	998	0.9883449883449883
GH1.hmm	429	XP_013190175.1	521	6.6e-150	2	428	34	502	0.993006993006993
GH1.hmm	429	XP_013193075.1	507	6.1e-153	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_013194175.1	510	4e-149	3	427	28	492	0.9883449883449883
GH1.hmm	429	XP_013194176.1	509	4e-149	3	427	28	492	0.9883449883449883
GH1.hmm	429	XP_013194729.1	531	2.9e-151	3	427	34	497	0.9883449883449883
GH1.hmm	429	XP_013194730.1	528	2.8e-151	3	427	31	494	0.9883449883449883
GH1.hmm	429	XP_013200045.1	545	1.2e-141	4	428	23	489	0.9883449883449883
GH1.hmm	429	XP_013200053.1	551	4e-139	5	427	23	487	0.9836829836829837
GH1.hmm	429	XP_013201179.1	1044	1.5e-156	3	427	33	497	0.9883449883449883
GH1.hmm	429	XP_013201179.1	1044	1.2e-151	3	427	563	1025	0.9883449883449883
