HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_014208505.1	513	7e-140	4	424	47	500	0.9790209790209791
GH1.hmm	429	XP_014208575.1	493	2e-147	5	427	27	484	0.9836829836829837
GH1.hmm	429	XP_014211396.1	429	1.5e-98	2	396	2	429	0.9184149184149184
GH1.hmm	429	XP_014213873.1	497	7.1e-148	4	427	24	493	0.986013986013986
GH1.hmm	429	XP_014213935.1	494	7e-148	4	427	31	488	0.986013986013986
GH1.hmm	429	XP_014217440.1	554	7.9e-131	2	428	62	536	0.993006993006993
GH1.hmm	429	XP_014217441.1	502	2.8e-120	2	396	62	502	0.9184149184149184
GH1.hmm	429	XP_014217971.1	225	4e-66	73	270	2	207	0.4592074592074592
GH1.hmm	429	XP_023245728.1	656	1.7e-146	4	427	167	633	0.986013986013986
GH1.hmm	429	XP_023246701.1	486	1.3e-143	5	427	24	480	0.9836829836829837
