Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_021923688.1	BAX08664.1|GH1|	40.1	1040	517	16	23	1049	31	977	1.5e-226	783.9
XP_021923692.1	AEW67361.1|GH1|	73.3	446	119	0	11	456	30	475	2.8e-217	751.9
XP_021923725.1	AFO93777.1|GH1|	47.6	976	466	17	40	1003	938	1880	7.2e-266	914.4
XP_021923730.1	BAB91145.1|GH1|3.2.1.21	62.6	468	166	2	22	480	29	496	9.0e-186	647.5
XP_021923731.1	BAB91145.1|GH1|3.2.1.21	55.1	468	126	2	22	405	29	496	1.3e-153	540.4
XP_021932743.1	ABN05620.1|GH1|	73.2	533	142	1	524	1056	1	532	7.6e-242	834.7
XP_021937620.1	AEW67361.1|GH1|	51.5	476	223	4	85	557	6	476	1.9e-144	510.4
XP_021938454.1	AEW67361.1|GH1|	51.5	476	223	4	65	537	6	476	1.8e-144	510.4
XP_021942206.1	BAB91145.1|GH1|3.2.1.21	55.5	467	207	1	22	487	30	496	4.6e-158	555.4
XP_021942296.1	BAB91145.1|GH1|3.2.1.21	55.5	467	207	1	22	487	30	496	4.6e-158	555.4
XP_021942419.1	BAB91145.1|GH1|3.2.1.21	55.5	467	207	1	22	487	30	496	4.6e-158	555.4
