Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_014362015.1	AFO93777.1|GH1|	44.4	977	489	16	34	996	938	1874	1.3e-246	850.5
XP_014362016.1	AEW46881.1|GH1|	67.2	503	160	2	10	512	15	512	6.5e-218	755.4
XP_014362018.1	CAQ14840.1|GH1|	41.4	1017	514	17	32	1025	559	1516	4.1e-224	775.8
XP_014362019.1	CAA81690.1|GH1|3.2.1.108|3.2.1.62	41.9	980	511	16	32	999	895	1828	2.8e-217	753.1
XP_014362958.1	SGZ49394.1|GH1|	79.5	527	106	2	5	530	3	528	1.4e-257	885.9
XP_014364862.1	ABK24806.1|GH1|	74.3	505	126	3	1	503	1	503	1.9e-230	795.8
XP_014364872.1	AEW46870.1|GH1|	59.6	389	156	1	15	402	118	506	3.8e-149	525.4
XP_014364876.1	AEW46870.1|GH1|	59.6	389	156	1	15	402	118	506	3.8e-149	525.4
XP_014364917.1	ABK24806.1|GH1|	69.1	505	153	2	16	519	1	503	2.4e-220	762.3
XP_014364994.1	BAG30744.1|GH1|	92.3	495	38	0	1	495	1	495	2.1e-287	984.9
XP_014366706.1	AEW46881.1|GH1|	48.1	509	250	4	7	504	7	512	1.8e-143	506.9
XP_014366709.1	AEW46871.1|GH1|	52.5	478	226	1	12	488	24	501	3.1e-148	522.7
XP_014367000.1	AAP13852.1|GH1|3.2.1.21	83.6	476	78	0	1	476	1	476	4.8e-255	877.5
XP_014367001.1	AAP13852.1|GH1|3.2.1.21	83.6	476	78	0	1	476	1	476	4.8e-255	877.5
XP_014367802.1	AXY94809.1|GH1|	49.3	357	169	5	5	358	152	499	1.1e-105	380.9
XP_014367803.1	AXY94809.1|GH1|	49.9	493	197	3	3	446	4	495	1.2e-148	523.9
XP_014367804.1	AXY94809.1|GH1|	55.9	433	133	3	40	415	23	454	2.8e-147	519.2
XP_014367814.1	AXY94809.1|GH1|	43.8	468	156	2	34	394	23	490	9.6e-113	404.4
XP_014370888.1	BAG30785.1|GH1|	96.5	404	14	0	2	405	128	531	7.4e-246	846.7
XP_014371456.1	AEW46871.1|GH1|	50.4	486	236	2	31	511	25	510	1.1e-151	534.3
