HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_018320177.1	490	7.4e-154	3	427	21	481	0.9883449883449883
GH1.hmm	429	XP_018320179.1	251	1e-54	216	427	2	242	0.49184149184149184
GH1.hmm	429	XP_018320181.1	498	1.6e-151	3	427	29	489	0.9883449883449883
GH1.hmm	429	XP_018320182.1	497	5.5e-151	3	427	28	488	0.9883449883449883
GH1.hmm	429	XP_018320184.1	497	1.1e-151	3	427	28	488	0.9883449883449883
GH1.hmm	429	XP_018320185.1	496	1.8e-146	2	426	27	486	0.9883449883449883
GH1.hmm	429	XP_018320187.1	494	5e-145	3	424	25	482	0.9813519813519813
GH1.hmm	429	XP_018320189.2	497	2e-153	3	427	28	488	0.9883449883449883
GH1.hmm	429	XP_018320216.1	491	2.7e-158	3	427	23	483	0.9883449883449883
GH1.hmm	429	XP_018320224.1	523	4.2e-156	3	427	26	486	0.9883449883449883
GH1.hmm	429	XP_018320225.2	767	5.8e-143	3	399	27	458	0.9230769230769231
GH1.hmm	429	XP_018320225.2	767	4.3e-70	213	427	489	733	0.4988344988344988
GH1.hmm	429	XP_018320233.1	502	4.4e-148	3	427	28	490	0.9883449883449883
GH1.hmm	429	XP_018320779.1	543	8.5e-149	2	427	24	486	0.9906759906759907
GH1.hmm	429	XP_018320791.1	552	2.5e-130	5	427	25	488	0.9836829836829837
GH1.hmm	429	XP_018320797.1	226	2.7e-49	241	428	2	210	0.4358974358974359
GH1.hmm	429	XP_018321395.1	491	9.2e-150	4	424	22	479	0.9790209790209791
GH1.hmm	429	XP_018322931.1	482	6e-155	4	427	20	479	0.986013986013986
GH1.hmm	429	XP_018330919.1	514	1.3e-157	3	427	28	489	0.9883449883449883
GH1.hmm	429	XP_018330920.1	289	1.2e-49	234	427	2	225	0.44988344988344986
GH1.hmm	429	XP_018332984.1	492	8.5e-154	4	427	24	483	0.986013986013986
GH1.hmm	429	XP_018335102.1	503	5.7e-141	5	427	23	476	0.9836829836829837
GH1.hmm	429	XP_025828881.1	493	6.6e-155	2	428	20	484	0.993006993006993
GH1.hmm	429	XP_025828888.1	493	1.8e-154	3	427	23	485	0.9883449883449883
GH1.hmm	429	XP_025830222.1	502	1.6e-146	3	427	28	473	0.9883449883449883
GH1.hmm	429	XP_025830262.1	493	1.8e-156	5	427	26	484	0.9836829836829837
GH1.hmm	429	XP_025830269.1	500	5e-155	3	427	34	491	0.9883449883449883
GH1.hmm	429	XP_025830270.1	494	3.1e-155	3	427	28	485	0.9883449883449883
GH1.hmm	429	XP_025830271.1	499	1.1e-149	3	426	28	489	0.986013986013986
GH1.hmm	429	XP_025830272.1	497	2e-153	3	427	28	488	0.9883449883449883
GH1.hmm	429	XP_025830274.1	490	1.3e-145	3	425	23	479	0.9836829836829837
GH1.hmm	429	XP_025830275.1	418	1.5e-108	3	298	23	346	0.6876456876456877
GH1.hmm	429	XP_025830276.1	386	1.5e-109	3	319	28	373	0.7365967365967366
GH1.hmm	429	XP_025830317.1	647	2.6e-111	3	298	28	348	0.6876456876456877
GH1.hmm	429	XP_025830317.1	647	4.2e-54	217	426	397	637	0.48717948717948717
GH1.hmm	429	XP_025835108.1	316	8.9e-84	115	396	1	316	0.655011655011655
GH1.hmm	429	XP_025835610.1	535	9.9e-150	2	427	24	482	0.9906759906759907
GH1.hmm	429	XP_025835611.1	535	4.4e-148	2	427	23	482	0.9906759906759907
GH1.hmm	429	XP_025835618.1	560	7.3e-139	2	427	24	490	0.9906759906759907
