Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_026272203.1	GH1(44-510)	N	N	N	1
XP_026273946.1	GH1(305-763)	GH1	GH1	N	3
XP_026274121.1	GH1(41-493)	GH1	N	N	2
XP_026276465.1	GH1(29-487)	N	N	N	1
XP_026276466.1	GH1(30-489)	N	N	N	1
XP_026277104.1	GH1(33-490)	N	N	N	1
XP_026277116.1	GH1(33-492)	N	N	N	1
XP_026277129.1	GH1(33-491)	N	N	N	1
XP_026277178.1	GH1(57-516)	N	N	N	1
XP_026277346.1	GH1(36-511)	N	N	N	1
XP_026277353.1	GH1(35-502)	GH1	GH1	N	3
XP_026277354.1	GH1(35-502)	GH1	GH1	N	3
XP_026277983.1	GH1(44-511)	N	N	N	1
XP_026277985.1	GH1(44-444)	N	N	N	1
XP_026278216.1	GH1(33-492)	N	N	N	1
XP_026279277.1	GH1(1-393)	GH1	GH1	N	3
XP_026279283.1	GH1(262-686)	GH1	GH1	N	3
XP_026281265.1	GH1(44-344)	GH1	N	N	2
XP_026282691.1	GH1(45-513)	N	N	N	1
XP_026283358.1	GH1(47-500)	N	GH1	N	2
XP_026283359.1	GH1(47-500)	N	GH1	N	2
XP_026283914.1	GH1(103-454)	GH1	N	N	2
XP_026284071.1	GH1(50-521)	N	GH1	N	2
XP_026284490.1	GH1(114-577)	N	N	N	1
XP_026284494.1	GH1(34-490)	N	N	N	1
XP_026285262.1	GH1(38-487)	N	N	N	1
XP_026285502.1	GH1(171-517)	N	N	N	1
XP_026285581.1	GH1(26-462)	N	N	N	1
XP_026285582.1	GH1(26-386)	N	N	N	1
XP_026285692.1	GH1(32-494)	GH1	N	N	2
XP_026285787.1	GH1(38-502)	GH1	N	N	2
XP_026286599.1	GH1(46-503)	N	GH1	N	2
XP_026286629.1	GH1(67-349)	N	N	N	1
XP_026286630.1	GH1(17-433)	GH1	N	N	2
XP_026287231.1	GH1(55-270)	GH1	N	N	2
XP_026287364.1	GH1(30-484)	N	N	N	1
XP_026287599.1	GH1(62-360)	GH1	N	N	2
XP_026287983.1	GH1(32-492)	GH1	N	N	2
XP_026288136.1	GH1(32-491)	GH1	N	N	2
XP_026288193.1	GH1(31-490)	N	N	N	1
XP_026288499.1	GH1(47-516)	N	N	N	1
XP_026288839.1	GH1(1159-1604)	N	N	N	1
XP_026288840.1	GH1(1159-1372)	N	N	N	1
XP_026288943.1	GH1(60-374)	GH1	N	N	2
XP_026288982.1	GH1(31-494)	N	N	N	1
XP_026289521.1	GH1(14-427)	N	N	N	1
XP_026289622.1	GH1(36-502)	GH1	GH1	N	3
XP_026289642.1	GH1(2-223)	N	N	N	1
XP_026289810.1	GH1(26-495)	GH1	N	N	2
XP_026289832.1	GH1(1-211)	N	N	N	1
XP_026290116.1	GH1(58-520)	GH1	N	N	2
XP_026290124.1	GH1(48-481)	GH1	N	N	2
XP_026290293.1	GH1(49-517)	N	N	N	1
XP_026290776.1	GH1(50-508)	N	N	N	1
XP_026290983.1	GH1(32-492)	GH1	N	N	2
XP_026291029.1	GH1(58-215)	GH1	N	N	2
XP_026291188.1	GH1(60-270)	N	N	N	1
XP_026291613.1	GH1(42-512)	N	N	N	1
XP_026292938.1	GH1(32-488)	GH1	GH1	N	3
XP_026293740.1	GH1(27-510)	GH1	N	N	2
XP_026293741.1	GH1(27-508)	GH1	N	N	2
XP_026293742.1	GH1(24-505)	GH1	N	N	2
