Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_011548449.1	GH1(25-489)	GH1	GH1	N	3
XP_011548743.1	GH1(35-503)+GH1(576-829)	GH1	GH1	N	3
XP_011548965.1	GH1(28-492)	GH1	GH1	N	3
XP_011551788.1	GH1(25-481)	GH1	GH1	N	3
XP_011553997.1	GH1(28-495)	GH1	GH1	N	3
XP_011554237.1	GH1(39-505)	GH1	GH1	N	3
XP_011554532.1	GH1(25-456)	GH1	GH1	N	3
XP_011556095.1	GH1(39-505)	GH1	GH1	N	3
XP_011557578.1	GH1(25-483)	GH1	GH1	N	3
XP_011558678.1	GH1(22-486)	GH1	GH1	N	3
XP_011558680.1	GH1(22-486)	GH1	GH1	N	3
XP_011559164.1	GH1(36-502)	GH1	GH1	N	3
XP_011559165.1	GH1(35-503)	GH1	GH1	N	3
XP_011559181.1	GH1(34-478)	N	GH1	N	2
XP_011560971.1	GH1(31-497)	GH1	GH1	N	3
XP_011560972.1	GH1(20-488)	GH1	GH1	N	3
XP_011560990.1	GH1(21-487)	GH1	GH1	N	3
XP_011561511.1	GH1(1-402)	GH1	GH1	N	3
XP_011563308.1	GH1(24-484)	GH1	GH1	N	3
XP_011564248.1	GH1(25-481)	GH1	GH1	N	3
XP_011566332.1	GH1(5-474)	GH1	GH1	N	3
XP_011566720.1	GH1(3-470)	GH1	GH1	N	3
XP_011567270.1	GH1(3-212)+GH1(211-386)	GH1	GH1	N	3
XP_011567357.1	GH1(303-757)	GH1	GH1	N	3
XP_011567408.1	GH1(1-334)	GH1	GH1	N	3
XP_011567669.1	GH1(25-487)	GH1	GH1	N	3
XP_011569365.1	GH1(27-493)	GH1	GH1	N	3
XP_011556122.1	N	GH1	N	N	1
