Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_023715346.1	ABN05620.1|GH1|	99.6	532	2	0	1	532	1	532	0.0e+00	1099.7
XP_023715347.1	AAL40863.1|GH1|3.2.1.-	55.4	480	213	1	27	505	39	518	1.7e-162	570.1
XP_023717244.1	BAB91145.1|GH1|3.2.1.21	55.0	469	209	2	27	493	30	498	1.6e-158	557.0
XP_023717245.1	BAB91145.1|GH1|3.2.1.21	57.1	462	198	0	29	490	32	493	8.4e-165	577.8
XP_023717246.1	BAB91145.1|GH1|3.2.1.21	57.1	462	198	0	29	490	32	493	8.4e-165	577.8
XP_023717247.1	BAB91145.1|GH1|3.2.1.21	57.1	462	198	0	29	490	32	493	8.4e-165	577.8
XP_023717248.1	BAB91145.1|GH1|3.2.1.21	55.5	429	189	2	27	453	30	458	7.0e-147	518.1
XP_023717249.1	ASA69242.1|GH1|	66.4	479	161	0	40	518	85	563	1.7e-210	729.6
XP_023717252.2	AOY34571.1|GH1|	65.2	471	161	2	40	509	29	497	4.5e-200	694.9
XP_023721112.1	AOY34571.1|GH1|	62.0	482	183	0	5	486	12	493	1.0e-189	660.6
XP_023721113.1	AOY34571.1|GH1|	62.0	482	183	0	5	486	12	493	1.0e-189	660.6
XP_023721122.1	AEW67361.1|GH1|	72.6	475	130	0	1	475	1	475	3.8e-225	778.1
XP_023721123.1	AEW67361.1|GH1|	64.8	475	126	1	1	434	1	475	4.6e-193	671.4
XP_023721124.1	AEW67361.1|GH1|	66.3	475	115	1	1	430	1	475	7.4e-196	680.6
XP_023723770.1	AOY34571.1|GH1|	79.0	471	99	0	31	501	29	499	4.4e-240	827.8
XP_023723771.1	AOY34571.1|GH1|	75.7	498	119	1	4	499	2	499	1.0e-241	833.2
XP_023723772.1	BAB91145.1|GH1|3.2.1.21	90.4	498	48	0	1	498	1	498	1.5e-280	962.2
XP_023723773.1	AIA09348.1|GH1|	63.3	490	176	2	11	497	16	504	6.1e-194	674.5
XP_023723774.1	AOY34571.1|GH1|	59.3	489	194	2	4	488	8	495	9.5e-179	624.0
XP_033609437.1	BAB91145.1|GH1|3.2.1.21	48.6	469	198	3	27	452	30	498	4.1e-132	469.2
XP_033609438.1	ASA69242.1|GH1|	66.4	479	161	0	54	532	85	563	1.7e-210	729.6
XP_033609439.1	ASA69242.1|GH1|	59.1	479	151	1	54	487	85	563	1.2e-178	623.6
XP_033609442.1	ATP16791.1|GH1|	43.0	1042	485	17	30	1059	1805	2749	3.6e-234	809.3
