Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_023715346.1	GH1(44-510)	GH1	GH1	N	3
XP_023715347.1	GH1(27-489)	GH1	GH1	N	3
XP_023717244.1	GH1(25-485)	GH1	GH1	N	3
XP_023717245.1	GH1(28-487)	GH1	GH1	N	3
XP_023717246.1	GH1(28-487)	GH1	GH1	N	3
XP_023717247.1	GH1(28-487)	GH1	GH1	N	3
XP_023717248.1	GH1(25-453)	GH1	GH1	N	3
XP_023717249.1	GH1(36-495)	GH1	GH1	N	3
XP_023717252.2	GH1(40-502)	GH1	GH1	N	3
XP_023721112.1	GH1(22-483)	GH1	GH1	N	3
XP_023721113.1	GH1(22-483)	GH1	GH1	N	3
XP_023721122.1	GH1(5-464)	GH1	GH1	N	3
XP_023721123.1	GH1(119-423)	GH1	GH1	N	3
XP_023721124.1	GH1(5-318)	GH1	GH1	N	3
XP_023723770.1	GH1(31-493)	GH1	GH1	N	3
XP_023723771.1	GH1(29-491)	GH1	GH1	N	3
XP_023723772.1	GH1(30-491)	GH1	GH1	N	3
XP_023723773.1	GH1(27-489)	GH1	GH1	N	3
XP_023723774.1	GH1(20-483)	GH1	GH1	N	3
XP_033609437.1	GH1(140-444)	GH1	GH1	N	3
XP_033609438.1	GH1(50-509)	GH1	GH1	N	3
XP_033609439.1	GH1(50-364)	GH1	GH1	N	3
XP_033609442.1	GH1(29-484)+GH1(594-1054)	GH1	GH1	N	3
