HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_028026026.1	521	4.3e-149	3	427	38	504	0.9883449883449883
GH1.hmm	429	XP_028028070.1	507	5.1e-153	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_028028071.1	507	1.1e-149	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_028028072.1	507	4.6e-150	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_028028205.1	511	1.1e-146	3	427	26	483	0.9883449883449883
GH1.hmm	429	XP_028029940.1	492	4.7e-137	2	427	25	489	0.9906759906759907
GH1.hmm	429	XP_028029941.1	227	1.8e-56	247	427	2	216	0.4195804195804196
GH1.hmm	429	XP_028029942.1	480	1.9e-145	4	427	2	465	0.986013986013986
GH1.hmm	429	XP_028029973.1	507	8.2e-138	4	427	23	482	0.986013986013986
GH1.hmm	429	XP_028029974.1	508	2.1e-136	4	427	24	483	0.986013986013986
GH1.hmm	429	XP_028030232.1	905	3.5e-149	3	427	6	470	0.9883449883449883
GH1.hmm	429	XP_028030232.1	905	6.2e-73	3	162	511	671	0.3706293706293706
GH1.hmm	429	XP_028030232.1	905	3.8e-50	248	427	675	886	0.4172494172494173
GH1.hmm	429	XP_028035150.1	529	5.8e-155	3	427	28	492	0.9883449883449883
GH1.hmm	429	XP_028036753.1	411	1e-102	77	427	1	386	0.8158508158508159
GH1.hmm	429	XP_028036754.1	703	2.2e-72	28	233	137	350	0.47785547785547783
GH1.hmm	429	XP_028036754.1	703	1.7e-77	131	427	359	694	0.6899766899766899
GH1.hmm	429	XP_028036762.1	484	2.4e-138	4	427	22	482	0.986013986013986
GH1.hmm	429	XP_028036782.1	529	8.1e-142	4	427	22	485	0.986013986013986
GH1.hmm	429	XP_028036783.1	471	1.2e-129	4	396	22	452	0.9137529137529138
GH1.hmm	429	XP_028037389.1	524	1.3e-144	4	427	21	484	0.986013986013986
GH1.hmm	429	XP_028037411.1	469	1.8e-145	4	426	2	463	0.9836829836829837
GH1.hmm	429	XP_028038643.1	483	1.8e-142	4	427	10	473	0.986013986013986
GH1.hmm	429	XP_028040485.1	485	3.4e-155	4	425	11	472	0.9813519813519813
GH1.hmm	429	XP_028040807.1	504	2e-149	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_028040808.1	504	2e-149	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_028040809.1	500	2e-149	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_028042604.1	220	2.5e-75	30	233	2	213	0.4731934731934732
GH1.hmm	429	XP_028043690.1	505	6e-153	4	427	26	487	0.986013986013986
GH1.hmm	429	XP_028043691.1	505	6e-153	4	427	26	487	0.986013986013986
GH1.hmm	429	XP_028043767.1	506	3.2e-148	2	427	24	487	0.9906759906759907
