Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_019753989.1	AEE63265.1|GH1|	98.8	481	6	0	1	481	1	481	1.9e-293	1005.0
XP_019753990.1	AEE63265.1|GH1|	98.3	419	7	0	1	419	1	419	4.2e-253	870.9
XP_019754716.1	AEE61793.1|GH1|	79.9	304	60	1	1	304	47	349	5.0e-148	521.5
XP_019755616.1	AEE62108.1|GH1|	99.4	497	3	0	1	497	1	497	2.9e-308	1054.3
XP_019755904.1	AEE61395.1|GH1|	99.4	505	3	0	1	505	1	505	0.0e+00	1075.5
XP_019755905.1	AEE63301.1|GH1|	99.6	499	2	0	1	499	1	499	1.1e-310	1062.4
XP_019755906.1	AEE61591.1|GH1|	99.8	484	1	0	1	484	1	484	3.9e-294	1007.3
XP_019755907.1	AEE61591.1|GH1|	91.3	485	41	1	1	485	1	484	4.3e-269	924.1
XP_019755936.1	AEE61395.1|GH1|	70.7	498	146	0	19	516	1	498	7.1e-225	777.3
XP_019756934.1	AEE61591.1|GH1|	57.0	323	136	1	1	320	1	323	4.5e-113	405.2
XP_019756936.1	AEE61591.1|GH1|	52.4	485	216	5	1	471	1	484	3.4e-149	525.8
XP_019757344.1	AEE62454.1|GH1|	100.0	499	0	0	1	499	1	499	3.7e-308	1053.9
XP_019757500.1	AEE62089.1|GH1|	99.8	519	1	0	1	519	1	519	0.0e+00	1085.5
XP_019757617.1	AEE62242.1|GH1|	85.3	415	59	1	3	417	1	413	3.3e-220	761.5
XP_019757624.1	AEE62242.1|GH1|	99.8	486	1	0	1	486	1	486	9.3e-296	1012.7
XP_019758264.1	AEE63301.1|GH1|	49.2	472	235	4	24	493	30	498	6.3e-138	488.4
XP_019761744.1	AEE61793.1|GH1|	99.8	519	1	0	1	519	1	519	0.0e+00	1085.9
XP_019764449.1	AEE63301.1|GH1|	53.4	466	215	2	25	490	30	493	1.9e-155	546.6
XP_019764511.1	AJE75671.1|GH1|	43.9	483	263	4	9	484	8	489	1.9e-115	413.7
XP_019764512.1	AJE75671.1|GH1|	45.1	472	235	4	26	482	25	487	5.6e-115	412.1
XP_019764591.1	AEE63189.1|GH1|	100.0	500	0	0	1	500	1	500	5.6e-312	1066.6
XP_019764592.1	AEE62876.1|GH1|	100.0	495	0	0	1	495	1	495	5.4e-307	1050.0
XP_019764658.1	AEE63495.1|GH1|	99.8	498	1	0	1	498	1	498	9.5e-312	1065.8
XP_019764667.1	AEE61591.1|GH1|	51.8	479	213	6	5	466	5	482	1.8e-147	520.0
XP_019766466.1	AEE62242.1|GH1|	87.2	486	62	0	3	488	1	486	1.2e-263	906.0
XP_019772434.1	AEE61591.1|GH1|	57.0	323	129	2	2	321	8	323	2.1e-110	396.4
