Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_022818242.1	GH1(23-487)	GH1	GH1	N	3
XP_022818243.1	GH1(17-481)	GH1	GH1	N	3
XP_022818244.1	GH1(23-485)	GH1	GH1	N	3
XP_022818245.1	GH1(23-340)	GH1	GH1	N	3
XP_022818246.1	GH1(19-478)	N	GH1	N	2
XP_022818247.1	GH1(20-484)	GH1	GH1	N	3
XP_022818485.1	GH1(2-463)	GH1	GH1	N	3
XP_022818653.1	GH1(23-484)	GH1	GH1	N	3
XP_022818654.1	GH1(24-485)	GH1	GH1	N	3
XP_022818655.1	GH1(27-492)+GH1(519-982)	GH1	GH1	N	3
XP_022820790.1	GH1(29-491)	GH1	GH1	N	3
XP_022821775.1	GH1(31-491)	GH1	GH1	N	3
XP_022822385.1	GH1(22-486)	GH1	GH1	N	3
XP_022822475.1	GH1(31-495)	GH1	GH1	N	3
XP_022825294.1	GH1(35-503)	GH1	GH1	N	3
XP_022825432.1	GH1(31-493)	GH1	GH1	N	3
XP_022827201.1	GH1(22-488)+GH1(521-984)	GH1	GH1	N	3
XP_022827202.1	GH1(22-487)+GH1(604-1072)	GH1	GH1	N	3
XP_022827203.1	GH1(21-486)+GH1(591-1057)	GH1	GH1	N	3
XP_022827260.1	GH1(21-486)	GH1	GH1	N	3
XP_022827446.1	GH1(27-490)	GH1	GH1	N	3
XP_022827475.1	GH1(64-527)	GH1	GH1	N	3
XP_022827476.1	GH1(30-493)	GH1	GH1	N	3
XP_022827478.1	GH1(2-465)	GH1	GH1	N	3
XP_022827479.1	GH1(2-465)	GH1	GH1	N	3
XP_022827607.1	GH1(25-490)	GH1	GH1	N	3
XP_022830560.1	GH1(42-505)	GH1	GH1	N	3
XP_022833294.1	GH1(3-295)	GH1	GH1	N	3
XP_022833531.1	GH1(16-290)	GH1	GH1	N	3
XP_022833696.1	GH1(3-478)	GH1	GH1	N	3
XP_022833742.1	GH1(5-432)	GH1	GH1	N	3
XP_022833751.1	GH1(4-473)	GH1	GH1	N	3
XP_022833797.1	GH1(1-421)	GH1	GH1	N	3
XP_022833843.1	GH1(8-475)	GH1	GH1	N	3
XP_022833885.1	GH1(6-478)	GH1	GH1	N	3
XP_022835024.1	GH1(2-471)	GH1	GH1	N	3
XP_022835647.1	GH1(22-462)	GH1	GH1	N	3
XP_022836868.1	GH1(14-187)	N	N	N	1
XP_022833856.1	N	GH1	N	N	1
