HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_008195643.1	495	1.9e-150	4	427	28	489	0.986013986013986
GH1.hmm	429	XP_008195645.1	495	2.7e-162	2	426	22	486	0.9883449883449883
GH1.hmm	429	XP_015833762.1	440	2.2e-136	30	427	2	435	0.9254079254079254
GH1.hmm	429	XP_015837060.1	1007	4.3e-151	4	427	24	486	0.986013986013986
GH1.hmm	429	XP_015837060.1	1007	4.8e-154	3	427	541	1004	0.9883449883449883
GH1.hmm	429	XP_015837080.1	492	3e-161	5	427	23	479	0.9836829836829837
GH1.hmm	429	XP_015837318.1	495	2.7e-162	2	426	22	486	0.9883449883449883
GH1.hmm	429	XP_015839336.1	497	5.1e-159	3	427	26	490	0.9883449883449883
GH1.hmm	429	XP_015839337.1	497	5.1e-159	3	427	26	490	0.9883449883449883
GH1.hmm	429	XP_966332.1	492	1.9e-147	2	427	21	477	0.9906759906759907
GH1.hmm	429	XP_968318.1	497	5.1e-159	3	427	26	490	0.9883449883449883
GH1.hmm	429	XP_970224.1	486	2.1e-152	4	427	22	481	0.986013986013986
GH1.hmm	429	XP_972032.1	498	1.9e-158	3	426	26	490	0.986013986013986
GH1.hmm	429	XP_972082.1	494	2.4e-161	2	426	24	486	0.9883449883449883
GH1.hmm	429	XP_972134.1	494	1.7e-159	2	426	24	486	0.9883449883449883
GH1.hmm	429	XP_972182.1	483	2.8e-154	4	426	21	480	0.9836829836829837
GH1.hmm	429	XP_972231.1	491	1.8e-150	4	427	24	485	0.986013986013986
GH1.hmm	429	XP_972386.3	501	6.9e-150	4	427	37	498	0.986013986013986
GH1.hmm	429	XP_975665.2	491	3e-161	5	427	22	478	0.9836829836829837
GH1.hmm	429	XP_975666.1	502	1.1e-161	3	427	22	484	0.9883449883449883
