HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	PSN32005.1	205	1.7e-73	4	160	30	200	0.36363636363636365
GH1.hmm	429	PSN32006.1	251	3.5e-76	27	211	7	195	0.4289044289044289
GH1.hmm	429	PSN34231.1	285	5.5e-98	3	244	27	275	0.5617715617715617
GH1.hmm	429	PSN34232.1	511	3.5e-136	3	398	30	410	0.9207459207459208
GH1.hmm	429	PSN35602.1	332	6e-105	3	278	29	325	0.6410256410256411
GH1.hmm	429	PSN35604.1	240	2.1e-41	150	428	11	233	0.6480186480186481
GH1.hmm	429	PSN36756.1	957	5.8e-90	29	298	107	403	0.627039627039627
GH1.hmm	429	PSN36756.1	957	1.1e-89	95	426	618	937	0.7715617715617715
GH1.hmm	429	PSN48334.1	1967	2.3e-127	3	427	30	441	0.9883449883449883
GH1.hmm	429	PSN48334.1	1967	9.2e-150	3	427	505	961	0.9883449883449883
GH1.hmm	429	PSN48334.1	1967	1.9e-77	5	243	1058	1296	0.5547785547785548
GH1.hmm	429	PSN49994.1	325	2.1e-36	116	296	45	212	0.4195804195804196
GH1.hmm	429	PSN49995.1	379	1.4e-63	157	427	2	368	0.6293706293706294
GH1.hmm	429	PSN50028.1	481	3.9e-53	113	294	203	400	0.4219114219114219
GH1.hmm	429	PSN50030.1	394	1.9e-97	3	298	5	284	0.6876456876456877
GH1.hmm	429	PSN51427.1	372	1.3e-77	158	428	51	357	0.6293706293706294
