Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_030020991.1	ABK24806.1|GH1|	66.2	503	169	1	1	502	1	503	1.4e-206	716.5
XP_030025072.1	AEW46867.1|GH1|	69.1	485	149	1	13	497	22	505	2.1e-215	747.3
XP_030025073.1	AFO93777.1|GH1|	42.4	999	521	17	28	1011	934	1893	5.4e-237	818.5
XP_030026236.1	AXY94809.1|GH1|	55.9	490	214	1	1	488	1	490	5.3e-180	628.2
XP_030026240.1	AXY94809.1|GH1|	56.5	485	205	4	6	485	7	490	9.1e-166	580.9
XP_030026255.1	AXY94809.1|GH1|	54.9	490	218	2	1	487	1	490	2.0e-173	606.3
XP_030026258.1	AXY94809.1|GH1|	55.4	484	214	1	6	487	7	490	2.3e-177	619.4
XP_030026259.1	AXY94809.1|GH1|	53.3	484	207	2	6	470	7	490	5.5e-168	588.2
XP_030026260.1	AXY94809.1|GH1|	53.4	485	224	2	35	518	7	490	3.2e-161	565.8
XP_030026262.1	AXY94809.1|GH1|	53.4	485	224	2	22	505	7	490	3.2e-161	565.8
XP_030026263.1	AXY94809.1|GH1|	54.9	497	219	4	3	494	4	500	1.4e-174	610.1
XP_030026264.1	AFO93777.1|GH1|	40.4	966	538	14	23	977	938	1876	6.0e-225	778.5
XP_030026265.1	AXY94809.1|GH1|	53.9	486	211	3	5	477	5	490	4.3e-168	588.6
XP_030026267.1	AXY94809.1|GH1|	53.7	486	220	3	5	485	5	490	2.7e-170	595.9
XP_030026268.1	AXY94809.1|GH1|	52.9	486	194	3	5	455	5	490	1.6e-164	576.6
XP_030026269.1	AXY94809.1|GH1|	44.0	486	165	3	5	383	5	490	5.0e-127	451.8
XP_030026270.1	AXY94809.1|GH1|	55.3	485	215	2	1	483	1	485	1.5e-171	600.1
XP_030026885.1	SGZ49394.1|GH1|	73.8	526	134	3	1	524	1	524	1.3e-245	846.3
XP_030029896.1	AEW46870.1|GH1|	62.0	505	191	1	9	512	11	515	2.4e-201	699.1
XP_030032528.1	AEW46878.1|GH1|	59.4	488	197	1	1	487	7	494	3.0e-188	655.6
XP_030032537.1	AEW46878.1|GH1|	59.4	488	197	1	1	487	7	494	3.0e-188	655.6
XP_030032546.1	AEW46878.1|GH1|	61.6	378	144	1	24	400	117	494	1.6e-150	530.0
XP_030032559.1	AEW46878.1|GH1|	64.8	475	166	1	19	492	25	499	3.4e-200	695.3
XP_030032573.1	AEW46878.1|GH1|	62.5	491	182	2	4	492	9	499	9.5e-195	677.2
XP_030032583.1	AEW46878.1|GH1|	64.0	475	170	1	8	481	25	499	1.6e-194	676.4
XP_030033142.1	AEW46871.1|GH1|	70.1	502	150	0	10	511	8	509	2.6e-224	775.4
XP_030035516.1	CAA30801.1|GH1|3.2.1.108|3.2.1.62	44.0	990	491	15	34	1016	903	1836	2.9e-246	849.4
XP_030037279.1	AAP13852.1|GH1|3.2.1.21	84.7	477	72	1	1	477	1	476	1.0e-260	896.3
XP_030037280.1	AAP13852.1|GH1|3.2.1.21	84.7	477	72	1	1	477	1	476	1.0e-260	896.3
XP_030037524.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	75.4	509	123	1	1	507	1	509	1.5e-240	829.3
XP_030037804.1	AEW46867.1|GH1|	51.9	476	223	5	33	506	26	497	8.4e-146	514.6
XP_030037805.1	AEW46867.1|GH1|	51.9	476	223	5	20	493	26	497	8.2e-146	514.6
XP_030037806.1	AEW46867.1|GH1|	51.9	476	223	5	6	479	26	497	8.0e-146	514.6
XP_030039701.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	74.6	232	59	0	1	232	3	234	9.2e-108	387.1
XP_030041345.1	BAG30785.1|GH1|	68.1	499	157	2	12	508	19	517	1.8e-212	736.1
