Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_021183317.1	ABK24806.1|GH1|	57.0	502	212	1	1	498	1	502	3.8e-183	638.6
XP_021186007.1	AEW46867.1|GH1|	71.6	500	141	1	8	507	7	505	4.3e-227	784.6
XP_021191415.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	76.5	503	116	1	23	523	7	509	1.7e-242	835.9
XP_021191416.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	76.3	511	117	2	1	509	1	509	1.9e-243	839.0
XP_021191417.1	ABK24806.1|GH1|	70.5	501	146	1	6	506	5	503	8.1e-226	780.4
XP_021191418.1	ABK24806.1|GH1|	70.6	503	146	1	4	506	3	503	6.9e-225	777.3
XP_021191419.1	ABK24806.1|GH1|	70.5	501	146	1	6	506	5	503	8.1e-226	780.4
XP_021191446.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	83.8	501	78	2	509	1006	9	509	3.7e-262	902.1
XP_021191447.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	77.8	509	110	2	1	506	1	509	3.1e-248	855.9
XP_021194049.1	AAP13852.1|GH1|3.2.1.21	82.4	476	83	1	3	477	1	476	7.3e-251	863.6
XP_021194050.1	AAP13852.1|GH1|3.2.1.21	82.4	476	83	1	3	477	1	476	7.2e-251	863.6
XP_021194593.1	AEW46878.1|GH1|	59.6	473	187	3	31	500	26	497	1.5e-179	626.7
XP_021194605.1	AEW46878.1|GH1|	67.3	474	155	0	31	504	26	499	4.5e-208	721.5
XP_021196645.1	AEW46881.1|GH1|	47.2	508	249	8	6	502	3	502	1.7e-143	506.9
XP_021196646.1	AEW46871.1|GH1|	50.6	480	232	4	35	513	23	498	2.5e-145	513.1
XP_021196647.1	AEW46871.1|GH1|	50.6	480	232	4	29	507	23	498	2.4e-145	513.1
XP_021196648.1	AEW46871.1|GH1|	50.6	480	232	4	28	506	23	498	2.4e-145	513.1
XP_021196985.1	AEW46871.1|GH1|	64.7	507	177	1	7	513	6	510	5.8e-219	757.7
XP_021197047.1	AXY94809.1|GH1|	54.3	475	212	5	20	489	24	498	1.2e-160	563.9
XP_021197058.1	AXY94809.1|GH1|	57.6	469	197	1	22	488	22	490	2.1e-178	622.9
XP_021197062.1	AXY94809.1|GH1|	52.1	486	226	5	6	484	7	492	1.1e-155	547.4
XP_021197068.1	AFO93777.1|GH1|	35.9	980	507	19	9	883	918	1881	5.7e-182	635.6
XP_021200129.1	ABK24806.1|GH1|	61.2	502	195	0	1	502	1	502	9.3e-198	687.2
XP_021200470.1	SGZ49394.1|GH1|	74.9	526	131	1	4	528	3	528	2.4e-249	858.6
XP_021200637.1	AEW46880.1|GH1|	55.8	513	222	2	7	517	4	513	2.6e-182	636.0
XP_021200721.1	AEW46880.1|GH1|	66.4	512	166	2	7	516	4	511	2.8e-221	765.4
