HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_026272203.1	547	8.2e-136	3	427	44	510	0.9883449883449883
GH1.hmm	429	XP_026273946.1	773	6.4e-156	3	424	305	763	0.9813519813519813
GH1.hmm	429	XP_026274121.1	528	5e-136	4	427	41	493	0.986013986013986
GH1.hmm	429	XP_026276465.1	525	3.8e-133	5	424	29	487	0.9766899766899767
GH1.hmm	429	XP_026276466.1	522	6e-126	4	425	30	489	0.9813519813519813
GH1.hmm	429	XP_026277104.1	562	1.2e-126	4	426	33	490	0.9836829836829837
GH1.hmm	429	XP_026277116.1	550	3.3e-125	4	426	33	492	0.9836829836829837
GH1.hmm	429	XP_026277129.1	537	1.3e-123	4	426	33	491	0.9836829836829837
GH1.hmm	429	XP_026277178.1	559	6.5e-122	4	424	57	516	0.9790209790209791
GH1.hmm	429	XP_026277346.1	572	7.2e-123	4	427	36	511	0.986013986013986
GH1.hmm	429	XP_026277353.1	567	2.3e-156	3	428	35	502	0.9906759906759907
GH1.hmm	429	XP_026277354.1	565	7.8e-154	3	428	35	502	0.9906759906759907
GH1.hmm	429	XP_026277983.1	549	1.1e-129	4	427	44	511	0.986013986013986
GH1.hmm	429	XP_026277985.1	448	2.9e-105	4	363	44	444	0.8368298368298368
GH1.hmm	429	XP_026278216.1	573	8.3e-128	4	426	33	492	0.9836829836829837
GH1.hmm	429	XP_026279277.1	439	1e-120	74	428	1	393	0.8251748251748252
GH1.hmm	429	XP_026279283.1	693	7.6e-126	4	396	262	686	0.9137529137529138
GH1.hmm	429	XP_026281265.1	383	1.6e-106	3	295	44	344	0.6806526806526807
GH1.hmm	429	XP_026282691.1	549	1.2e-133	3	427	45	513	0.9883449883449883
GH1.hmm	429	XP_026283358.1	505	1.3e-152	5	426	47	500	0.9813519813519813
GH1.hmm	429	XP_026283359.1	505	1.3e-152	5	426	47	500	0.9813519813519813
GH1.hmm	429	XP_026283914.1	504	1.6e-70	115	427	103	454	0.7272727272727273
GH1.hmm	429	XP_026284071.1	569	1.2e-139	5	425	50	521	0.9790209790209791
GH1.hmm	429	XP_026284490.1	631	1.3e-116	2	427	114	577	0.9906759906759907
GH1.hmm	429	XP_026284494.1	555	1e-125	3	427	34	490	0.9883449883449883
GH1.hmm	429	XP_026285262.1	522	2.3e-131	3	427	38	487	0.9883449883449883
GH1.hmm	429	XP_026285502.1	562	1.9e-76	116	424	171	517	0.717948717948718
GH1.hmm	429	XP_026285581.1	506	9.4e-117	3	427	26	462	0.9883449883449883
GH1.hmm	429	XP_026285582.1	425	5.7e-101	3	353	26	386	0.8158508158508159
GH1.hmm	429	XP_026285692.1	537	3.3e-127	5	426	32	494	0.9813519813519813
GH1.hmm	429	XP_026285787.1	548	1.4e-116	4	424	38	502	0.9790209790209791
GH1.hmm	429	XP_026286599.1	542	2.4e-141	5	427	46	503	0.9836829836829837
GH1.hmm	429	XP_026286629.1	370	2.5e-89	3	281	67	349	0.6480186480186481
GH1.hmm	429	XP_026286630.1	473	1e-113	45	424	17	433	0.8834498834498834
GH1.hmm	429	XP_026287231.1	384	7.1e-79	5	218	55	270	0.4965034965034965
GH1.hmm	429	XP_026287364.1	524	4.1e-122	4	424	30	484	0.9790209790209791
GH1.hmm	429	XP_026287599.1	361	3.7e-92	5	283	62	360	0.6480186480186481
GH1.hmm	429	XP_026287983.1	535	2.2e-128	5	424	32	492	0.9766899766899767
GH1.hmm	429	XP_026288136.1	530	4.2e-120	4	425	32	491	0.9813519813519813
GH1.hmm	429	XP_026288193.1	523	2.4e-122	4	427	31	490	0.986013986013986
GH1.hmm	429	XP_026288499.1	563	7e-133	3	427	47	516	0.9883449883449883
GH1.hmm	429	XP_026288839.1	1614	2.8e-121	5	427	1159	1604	0.9836829836829837
GH1.hmm	429	XP_026288840.1	1376	1.2e-69	5	220	1159	1372	0.5011655011655012
GH1.hmm	429	XP_026288943.1	430	1.5e-96	4	297	60	374	0.682983682983683
GH1.hmm	429	XP_026288982.1	527	1.4e-126	4	427	31	494	0.986013986013986
GH1.hmm	429	XP_026289521.1	470	8.2e-109	46	422	14	427	0.8764568764568764
GH1.hmm	429	XP_026289622.1	534	1.1e-162	3	427	36	502	0.9883449883449883
GH1.hmm	429	XP_026289642.1	268	1.2e-39	235	424	2	223	0.4405594405594406
GH1.hmm	429	XP_026289810.1	535	3.4e-119	3	426	26	495	0.986013986013986
GH1.hmm	429	XP_026289832.1	289	6.5e-41	118	298	1	211	0.4195804195804196
GH1.hmm	429	XP_026290116.1	553	1e-125	4	427	58	520	0.986013986013986
GH1.hmm	429	XP_026290124.1	482	1.9e-111	4	396	48	481	0.9137529137529138
GH1.hmm	429	XP_026290293.1	555	4.3e-136	3	426	49	517	0.986013986013986
GH1.hmm	429	XP_026290776.1	540	3.1e-117	4	425	50	508	0.9813519813519813
GH1.hmm	429	XP_026290983.1	535	1.2e-124	5	424	32	492	0.9766899766899767
GH1.hmm	429	XP_026291029.1	226	2.5e-58	3	160	58	215	0.36596736596736595
GH1.hmm	429	XP_026291188.1	272	4.1e-74	5	214	60	270	0.48717948717948717
GH1.hmm	429	XP_026291613.1	553	2e-137	5	426	42	512	0.9813519813519813
GH1.hmm	429	XP_026292938.1	522	2.2e-133	4	426	32	488	0.9836829836829837
GH1.hmm	429	XP_026293740.1	547	2.9e-136	3	426	27	510	0.986013986013986
GH1.hmm	429	XP_026293741.1	545	6.2e-134	3	426	27	508	0.986013986013986
GH1.hmm	429	XP_026293742.1	542	6.1e-134	3	426	24	505	0.986013986013986
