Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_013182836.1	AEW46881.1|GH1|	70.6	511	146	3	6	516	7	513	5.0e-223	771.2
XP_013185165.1	AEW46881.1|GH1|	49.2	502	246	4	3	498	5	503	4.1e-145	512.3
XP_013188038.1	AEW46878.1|GH1|	67.3	498	162	1	5	502	5	501	1.5e-216	749.6
XP_013188067.1	AEW46870.1|GH1|	60.7	514	197	3	10	518	2	515	6.4e-194	674.5
XP_013189559.1	AFO93777.1|GH1|	44.6	979	487	16	31	996	938	1874	1.4e-245	847.0
XP_013190175.1	BAG30785.1|GH1|	66.0	512	169	3	1	509	12	521	1.1e-212	736.9
XP_013193075.1	ABK24806.1|GH1|	76.4	505	117	1	1	505	1	503	2.1e-242	835.5
XP_013194175.1	AAP13852.1|GH1|3.2.1.21	82.4	472	83	0	12	483	5	476	1.4e-249	859.4
XP_013194176.1	AAP13852.1|GH1|3.2.1.21	82.4	472	83	0	12	483	5	476	1.4e-249	859.4
XP_013194729.1	SGZ49394.1|GH1|	73.9	498	128	2	25	520	20	517	1.4e-231	799.7
XP_013194730.1	SGZ49394.1|GH1|	72.5	516	138	4	5	517	3	517	5.5e-233	804.3
XP_013200045.1	AXY94809.1|GH1|	51.9	497	232	5	5	497	4	497	2.0e-158	556.6
XP_013200053.1	AXY94809.1|GH1|	54.1	497	221	5	5	497	5	498	1.7e-165	580.1
XP_013201179.1	CAA81690.1|GH1|3.2.1.108|3.2.1.62	44.1	1000	482	17	35	1023	895	1828	1.7e-238	823.5
