Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_026313554.1	GH1(20-485)+GH1(546-1012)	GH1	GH1	N	3
XP_026316492.1	GH1(22-483)	GH1	GH1	N	3
XP_026319443.1	GH1(32-497)	GH1	GH1	N	3
XP_026319716.1	GH1(30-274)	GH1	GH1	N	3
XP_026319979.1	GH1(38-500)	GH1	GH1	N	3
XP_026320223.1	GH1(20-485)	GH1	GH1	N	3
XP_026320224.1	GH1(20-468)	GH1	GH1	N	3
XP_026322188.1	GH1(1-269)	GH1	GH1	N	3
XP_026322239.1	GH1(31-494)	GH1	GH1	N	3
XP_026322901.1	GH1(23-482)	GH1	GH1	N	3
XP_026323140.1	GH1(30-491)	GH1	GH1	N	3
XP_026323169.1	GH1(24-487)	GH1	GH1	N	3
XP_026324189.1	GH1(29-491)+GH1(532-993)	GH1	GH1	N	3
XP_026324190.1	GH1(45-506)	GH1	GH1	N	3
XP_026324191.1	GH1(29-510)+GH1(553-1011)	GH1	GH1	N	3
XP_026331740.1	GH1(28-344)	GH1	GH1	N	3
