Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_011548449.1	ABK24806.1|GH1|	56.4	505	212	5	4	506	5	503	8.2e-178	620.9
XP_011548743.1	AXY94809.1|GH1|	52.5	491	226	6	21	508	7	493	1.5e-158	557.8
XP_011548965.1	AEW46871.1|GH1|	71.3	494	142	0	9	502	6	499	4.9e-226	781.2
XP_011551788.1	AEW46878.1|GH1|	62.7	482	175	3	8	485	13	493	1.3e-191	666.8
XP_011553997.1	ABK24806.1|GH1|	61.9	485	182	1	28	512	22	503	1.8e-188	656.4
XP_011554237.1	BAG30785.1|GH1|	70.4	504	148	1	10	512	17	520	3.6e-229	791.6
XP_011554532.1	ABK24806.1|GH1|	58.1	456	186	4	1	455	1	452	1.5e-165	580.1
XP_011556095.1	BAG30785.1|GH1|	70.2	504	149	1	10	512	17	520	5.2e-228	787.7
XP_011557578.1	ABK24806.1|GH1|	64.7	507	171	4	1	503	1	503	6.9e-193	671.0
XP_011558678.1	AAP13852.1|GH1|3.2.1.21	77.8	472	105	0	6	477	5	476	2.5e-235	812.0
XP_011558680.1	AAP13852.1|GH1|3.2.1.21	77.8	472	105	0	6	477	5	476	2.5e-235	812.0
XP_011559164.1	AXY94809.1|GH1|	52.2	492	232	3	13	503	1	490	7.0e-159	558.1
XP_011559165.1	AXY94809.1|GH1|	52.5	491	226	6	21	508	7	493	7.1e-159	558.1
XP_011559181.1	AXY94809.1|GH1|	51.7	451	213	4	34	483	47	493	9.4e-145	511.1
XP_011560971.1	AXY94809.1|GH1|	52.8	487	227	3	13	498	6	490	6.3e-160	561.6
XP_011560972.1	AXY94809.1|GH1|	52.7	491	225	6	6	493	7	493	4.1e-159	558.9
XP_011560990.1	AXY94809.1|GH1|	53.3	478	221	2	6	482	8	484	7.3e-163	571.2
XP_011561511.1	AEW46870.1|GH1|	54.1	484	167	3	1	430	33	515	5.2e-157	551.6
XP_011563308.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	55.8	511	216	6	1	503	1	509	3.6e-173	605.5
XP_011564248.1	AEW46878.1|GH1|	62.0	482	178	3	8	485	13	493	4.1e-190	661.8
XP_011566332.1	AFP71491.1|GH1|	99.8	477	1	0	1	477	1	477	7.5e-298	1019.6
XP_011566720.1	AIX53670.1|GH1|	100.0	474	0	0	1	474	1	474	1.5e-282	968.8
XP_011567270.1	AKZ74463.1|GH1|	86.2	449	0	1	1	387	1	449	9.9e-232	799.7
XP_011567357.1	AYY05042.1|GH1|	99.8	458	1	0	303	760	1	458	1.3e-283	973.0
XP_011567408.1	QBA38138.1|GH1|	100.0	339	0	0	1	339	120	458	1.7e-211	732.3
XP_011567669.1	AEW46870.1|GH1|	59.8	498	197	3	19	515	20	515	5.8e-187	651.4
XP_011569365.1	ABK24806.1|GH1|	54.9	503	221	4	8	509	5	502	2.5e-174	609.4
