HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_021183317.1	501	3e-152	3	427	23	482	0.9883449883449883
GH1.hmm	429	XP_021186007.1	510	2.2e-150	3	427	29	491	0.9883449883449883
GH1.hmm	429	XP_021191415.1	523	1.2e-155	2	427	38	504	0.9906759906759907
GH1.hmm	429	XP_021191416.1	509	1.1e-155	2	427	24	490	0.9906759906759907
GH1.hmm	429	XP_021191417.1	508	2.4e-149	2	427	23	489	0.9906759906759907
GH1.hmm	429	XP_021191418.1	508	1.5e-149	2	427	23	489	0.9906759906759907
GH1.hmm	429	XP_021191419.1	508	2.4e-149	2	427	23	489	0.9906759906759907
GH1.hmm	429	XP_021191446.1	1006	3.3e-153	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_021191446.1	1006	1.7e-152	2	427	522	987	0.9906759906759907
GH1.hmm	429	XP_021191447.1	1027	2.1e-151	3	427	22	487	0.9883449883449883
GH1.hmm	429	XP_021191447.1	1027	5.7e-151	2	428	537	1000	0.993006993006993
GH1.hmm	429	XP_021194049.1	508	4.7e-149	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_021194050.1	502	4.5e-149	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_021194593.1	501	9.9e-155	5	426	35	492	0.9813519813519813
GH1.hmm	429	XP_021194605.1	509	1.3e-152	4	426	34	494	0.9836829836829837
GH1.hmm	429	XP_021196645.1	509	7.4e-146	3	427	31	494	0.9883449883449883
GH1.hmm	429	XP_021196646.1	519	1.1e-144	3	427	37	504	0.9883449883449883
GH1.hmm	429	XP_021196647.1	513	1e-144	3	427	31	498	0.9883449883449883
GH1.hmm	429	XP_021196648.1	512	1e-144	3	427	30	497	0.9883449883449883
GH1.hmm	429	XP_021196985.1	520	1e-147	2	427	25	490	0.9906759906759907
GH1.hmm	429	XP_021197047.1	493	3.7e-140	3	425	18	477	0.9836829836829837
GH1.hmm	429	XP_021197058.1	497	3.7e-149	4	426	23	485	0.9836829836829837
GH1.hmm	429	XP_021197062.1	489	9.3e-131	4	426	22	479	0.9836829836829837
GH1.hmm	429	XP_021197068.1	898	9e-57	213	427	151	398	0.4988344988344988
GH1.hmm	429	XP_021197068.1	898	3.7e-149	4	427	413	878	0.986013986013986
GH1.hmm	429	XP_021200129.1	505	1.3e-152	3	427	23	486	0.9883449883449883
GH1.hmm	429	XP_021200470.1	529	3.3e-152	3	427	30	494	0.9883449883449883
GH1.hmm	429	XP_021200637.1	526	5.6e-141	2	427	35	504	0.9906759906759907
GH1.hmm	429	XP_021200721.1	523	1e-141	3	427	36	505	0.9883449883449883
