HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_026753072.1	195	8.1e-70	29	210	4	190	0.4219114219114219
GH1.hmm	429	XP_026754137.1	502	5.7e-153	3	427	25	489	0.9883449883449883
GH1.hmm	429	XP_026754269.1	511	2.9e-148	2	427	22	484	0.9906759906759907
GH1.hmm	429	XP_026755414.1	528	2e-148	3	427	38	503	0.9883449883449883
GH1.hmm	429	XP_026756863.1	512	5e-154	3	427	31	493	0.9883449883449883
GH1.hmm	429	XP_026757122.1	1035	2.7e-156	3	427	34	497	0.9883449883449883
GH1.hmm	429	XP_026757122.1	1035	1e-154	4	427	555	1016	0.986013986013986
GH1.hmm	429	XP_026758988.2	503	5.5e-153	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_026759049.1	529	7.4e-152	4	427	32	494	0.986013986013986
GH1.hmm	429	XP_026762202.1	500	5.7e-148	4	427	23	488	0.986013986013986
GH1.hmm	429	XP_026764169.1	505	1.1e-151	2	427	22	486	0.9906759906759907
GH1.hmm	429	XP_031763669.1	1003	1.4e-156	2	427	15	478	0.9906759906759907
GH1.hmm	429	XP_031763669.1	1003	2.4e-157	2	427	521	984	0.9906759906759907
GH1.hmm	429	XP_031763957.1	480	2e-139	3	427	2	465	0.9883449883449883
GH1.hmm	429	XP_031763958.1	480	2e-139	3	427	2	465	0.9883449883449883
GH1.hmm	429	XP_031768016.1	495	5.5e-148	4	427	18	483	0.986013986013986
GH1.hmm	429	XP_031768072.1	875	8.6e-148	4	428	23	490	0.9883449883449883
GH1.hmm	429	XP_031768072.1	875	9.7e-55	265	428	624	810	0.37995337995337997
GH1.hmm	429	XP_031768073.1	916	4.2e-152	4	427	23	489	0.986013986013986
GH1.hmm	429	XP_031768073.1	916	6.4e-107	77	426	510	899	0.8135198135198135
GH1.hmm	429	XP_031768866.1	347	1.4e-56	213	395	134	346	0.42424242424242425
