Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_023934074.1	GH1(71-535)	GH1	GH1	N	3
XP_023934075.1	GH1(71-535)	GH1	GH1	N	3
XP_023934076.1	GH1(71-535)	GH1	GH1	N	3
XP_023934077.1	GH1(71-535)	GH1	GH1	N	3
XP_023934078.1	GH1(21-485)	GH1	GH1	N	3
XP_023935446.1	GH1(21-486)	GH1	GH1	N	3
XP_023935450.1	GH1(21-486)	GH1	GH1	N	3
XP_023935452.1	GH1(22-488)	GH1	GH1	N	3
XP_023935490.1	GH1(21-487)	GH1	GH1	N	3
XP_023935495.1	GH1(21-486)	GH1	GH1	N	3
XP_023935496.1	GH1(17-482)	GH1	GH1	N	3
XP_023935498.1	GH1(33-494)	GH1	GH1	N	3
XP_023936329.1	GH1(23-487)	GH1	GH1	N	3
XP_023936365.1	GH1(23-489)+GH1(586-1051)	GH1	GH1	N	3
XP_023941626.1	GH1(29-488)	GH1	GH1	N	3
XP_023947289.1	GH1(24-190)	N	N	N	1
XP_023947340.1	GH1(33-488)+GH1(532-994)	GH1	GH1	N	3
XP_023947354.1	GH1(31-493)+GH1(526-988)	GH1	GH1	N	3
XP_023948567.1	GH1(25-273)	GH1	GH1	N	3
XP_023948571.1	GH1(33-498)	GH1	GH1	N	3
XP_023948572.1	GH1(33-498)	GH1	GH1	N	3
XP_023948573.1	GH1(8-448)	GH1	GH1	N	3
XP_023948991.1	GH1(37-503)	GH1	GH1	N	3
XP_023949451.1	GH1(10-472)	GH1	GH1	N	3
XP_023949452.1	GH1(27-489)+GH1(556-1017)	GH1	GH1	N	3
XP_023949467.1	GH1(34-279)	N	GH1	N	2
XP_023950089.1	GH1(2-465)	GH1	GH1	N	3
XP_023950090.1	GH1(2-430)	GH1	GH1	N	3
XP_023950091.1	GH1(2-430)	GH1	GH1	N	3
XP_023950092.1	GH1(2-434)	GH1	GH1	N	3
XP_023950607.1	GH1(44-508)	GH1	GH1	N	3
XP_023950608.1	GH1(33-497)	GH1	GH1	N	3
XP_023950609.1	GH1(2-438)	N	GH1	N	2
XP_023951152.1	GH1(23-452)	GH1	GH1	N	3
XP_023951206.1	GH1(2-226)	N	GH1	N	2
XP_023951779.1	GH1(23-487)	N	GH1	N	2
XP_023951780.1	GH1(24-488)	N	GH1	N	2
XP_023951781.1	GH1(24-488)	N	GH1	N	2
XP_023951782.1	GH1(19-483)	N	GH1	N	2
XP_023951871.1	GH1(30-494)	GH1	GH1	N	3
XP_023952311.1	GH1(23-487)	GH1	GH1	N	3
XP_023952689.1	GH1(26-488)	GH1	GH1	N	3
XP_023952790.1	GH1(21-486)	GH1	GH1	N	3
XP_023952801.1	GH1(20-478)	GH1	GH1	N	3
XP_023952812.1	GH1(5-351)	N	N	N	1
XP_023953337.1	GH1(2-454)	GH1	GH1	N	3
XP_023953689.1	GH1(31-287)	GH1	GH1	N	3
