Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_021923688.1	GH1(21-483)+GH1(584-1045)	GH1	GH1	N	3
XP_021923692.1	GH1(10-445)	GH1	GH1	N	3
XP_021923725.1	GH1(39-499)+GH1(539-999)	GH1	GH1	N	3
XP_021923730.1	GH1(22-474)	GH1	GH1	N	3
XP_021923731.1	GH1(22-236)+GH1(233-399)	GH1	GH1	N	3
XP_021932743.1	GH1(27-489)+GH1(568-1034)	GH1	GH1	N	3
XP_021937620.1	GH1(84-543)	GH1	GH1	N	3
XP_021938454.1	GH1(64-523)	GH1	GH1	N	3
XP_021942206.1	GH1(20-481)	GH1	GH1	N	3
XP_021942296.1	GH1(20-481)	GH1	GH1	N	3
XP_021942419.1	GH1(20-481)	GH1	GH1	N	3
