HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_023934074.1	590	9.2e-149	3	427	71	535	0.9883449883449883
GH1.hmm	429	XP_023934075.1	555	7.5e-149	3	427	71	535	0.9883449883449883
GH1.hmm	429	XP_023934076.1	552	7.3e-149	3	427	71	535	0.9883449883449883
GH1.hmm	429	XP_023934077.1	552	7.3e-149	3	427	71	535	0.9883449883449883
GH1.hmm	429	XP_023934078.1	540	6.8e-149	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_023935446.1	505	2.3e-152	3	427	21	486	0.9883449883449883
GH1.hmm	429	XP_023935450.1	505	1.1e-150	3	427	21	486	0.9883449883449883
GH1.hmm	429	XP_023935452.1	507	1.9e-147	3	427	22	488	0.9883449883449883
GH1.hmm	429	XP_023935490.1	506	9.5e-148	2	427	21	487	0.9906759906759907
GH1.hmm	429	XP_023935495.1	505	9e-148	3	427	21	486	0.9883449883449883
GH1.hmm	429	XP_023935496.1	501	8.7e-148	3	427	17	482	0.9883449883449883
GH1.hmm	429	XP_023935498.1	537	1.9e-146	3	427	33	494	0.9883449883449883
GH1.hmm	429	XP_023936329.1	531	4.5e-145	4	427	23	487	0.986013986013986
GH1.hmm	429	XP_023936365.1	1081	3.7e-149	4	428	23	489	0.9883449883449883
GH1.hmm	429	XP_023936365.1	1081	1.3e-143	2	427	586	1051	0.9906759906759907
GH1.hmm	429	XP_023941626.1	498	2.5e-155	4	426	29	488	0.9836829836829837
GH1.hmm	429	XP_023947289.1	200	5.9e-78	3	168	24	190	0.38461538461538464
GH1.hmm	429	XP_023947340.1	1014	6.9e-152	4	427	33	488	0.986013986013986
GH1.hmm	429	XP_023947340.1	1014	6.7e-155	4	427	532	994	0.986013986013986
GH1.hmm	429	XP_023947354.1	1008	7.4e-149	3	427	31	493	0.9883449883449883
GH1.hmm	429	XP_023947354.1	1008	3.5e-157	4	427	526	988	0.986013986013986
GH1.hmm	429	XP_023948567.1	407	7.5e-97	3	243	25	273	0.5594405594405595
GH1.hmm	429	XP_023948571.1	518	1.4e-156	3	427	33	498	0.9883449883449883
GH1.hmm	429	XP_023948572.1	518	1.3e-156	3	427	33	498	0.9883449883449883
GH1.hmm	429	XP_023948573.1	468	1.4e-140	28	427	8	448	0.9300699300699301
GH1.hmm	429	XP_023948991.1	520	8.1e-149	3	427	37	503	0.9883449883449883
GH1.hmm	429	XP_023949451.1	485	1.8e-149	3	427	10	472	0.9883449883449883
GH1.hmm	429	XP_023949452.1	1032	6.8e-150	3	427	27	489	0.9883449883449883
GH1.hmm	429	XP_023949452.1	1032	5e-145	3	426	556	1017	0.986013986013986
GH1.hmm	429	XP_023949467.1	280	2.6e-96	3	242	34	279	0.5571095571095571
GH1.hmm	429	XP_023950089.1	482	1.8e-139	3	426	2	465	0.986013986013986
GH1.hmm	429	XP_023950090.1	447	7.3e-122	38	426	2	430	0.9044289044289044
GH1.hmm	429	XP_023950091.1	447	7.3e-122	38	426	2	430	0.9044289044289044
GH1.hmm	429	XP_023950092.1	442	9.1e-128	3	397	2	434	0.9184149184149184
GH1.hmm	429	XP_023950607.1	556	1.1e-135	4	427	44	508	0.986013986013986
GH1.hmm	429	XP_023950608.1	545	1e-135	4	427	33	497	0.986013986013986
GH1.hmm	429	XP_023950609.1	486	7.9e-119	32	427	2	438	0.9207459207459208
GH1.hmm	429	XP_023951152.1	454	3.2e-136	3	396	23	452	0.916083916083916
GH1.hmm	429	XP_023951206.1	370	8.3e-84	26	242	2	226	0.5034965034965035
GH1.hmm	429	XP_023951779.1	543	9.2e-138	4	427	23	487	0.986013986013986
GH1.hmm	429	XP_023951780.1	524	2e-140	4	427	24	488	0.986013986013986
GH1.hmm	429	XP_023951781.1	524	2e-140	4	427	24	488	0.986013986013986
GH1.hmm	429	XP_023951782.1	519	2e-140	4	427	19	483	0.986013986013986
GH1.hmm	429	XP_023951871.1	528	2.3e-152	3	428	30	494	0.9906759906759907
GH1.hmm	429	XP_023952311.1	537	1.3e-135	3	427	23	487	0.9883449883449883
GH1.hmm	429	XP_023952689.1	502	5.2e-147	3	427	26	488	0.9883449883449883
GH1.hmm	429	XP_023952790.1	533	6e-136	4	427	21	486	0.986013986013986
GH1.hmm	429	XP_023952801.1	479	2e-134	3	419	20	478	0.9696969696969697
GH1.hmm	429	XP_023952812.1	398	4.5e-75	123	427	5	351	0.7086247086247086
GH1.hmm	429	XP_023953337.1	504	8.1e-131	16	427	2	454	0.958041958041958
GH1.hmm	429	XP_023953689.1	292	1.5e-98	3	253	31	287	0.5827505827505828
