HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_022906938.1	499	2.7e-151	3	425	20	478	0.9836829836829837
GH1.hmm	429	XP_022906939.1	418	1.2e-107	3	292	20	329	0.6736596736596736
GH1.hmm	429	XP_022913017.1	494	1.3e-131	18	427	48	484	0.9533799533799534
GH1.hmm	429	XP_022913989.1	534	4.9e-156	2	427	40	501	0.9906759906759907
GH1.hmm	429	XP_022913990.1	531	4.8e-145	2	428	32	495	0.993006993006993
GH1.hmm	429	XP_022913991.1	531	4.8e-145	2	428	32	495	0.993006993006993
GH1.hmm	429	XP_022913993.1	461	1.2e-134	2	396	32	461	0.9184149184149184
GH1.hmm	429	XP_022913994.1	528	1.9e-146	2	428	31	494	0.993006993006993
GH1.hmm	429	XP_022913995.1	525	2.5e-145	2	428	31	490	0.993006993006993
GH1.hmm	429	XP_022915096.1	512	2.6e-137	4	428	26	489	0.9883449883449883
GH1.hmm	429	XP_022915417.1	497	6.5e-154	4	428	19	482	0.9883449883449883
GH1.hmm	429	XP_022915423.1	497	6.5e-154	4	428	19	482	0.9883449883449883
GH1.hmm	429	XP_022915431.1	497	6.5e-154	4	428	19	482	0.9883449883449883
GH1.hmm	429	XP_022915440.1	497	6.5e-154	4	428	19	482	0.9883449883449883
GH1.hmm	429	XP_022915449.1	497	6.5e-154	4	428	19	482	0.9883449883449883
GH1.hmm	429	XP_022915458.1	497	6.5e-154	4	428	19	482	0.9883449883449883
GH1.hmm	429	XP_022915568.1	523	2.9e-143	3	428	27	491	0.9906759906759907
GH1.hmm	429	XP_022915650.1	497	1e-157	4	427	19	481	0.986013986013986
GH1.hmm	429	XP_022915744.1	497	9.1e-152	3	426	19	481	0.986013986013986
GH1.hmm	429	XP_022915768.1	500	1.5e-158	3	427	21	484	0.9883449883449883
GH1.hmm	429	XP_022917142.1	420	8.4e-116	2	361	23	418	0.8368298368298368
GH1.hmm	429	XP_022917213.1	511	6.4e-141	3	427	24	487	0.9883449883449883
GH1.hmm	429	XP_022917226.1	498	3.1e-137	2	428	10	475	0.993006993006993
