HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_011548449.1	508	1.6e-146	3	427	25	489	0.9883449883449883
GH1.hmm	429	XP_011548743.1	876	5.9e-150	4	428	35	503	0.9883449883449883
GH1.hmm	429	XP_011548743.1	876	5.1e-58	211	428	576	829	0.5058275058275058
GH1.hmm	429	XP_011548965.1	520	1.4e-156	3	427	28	492	0.9883449883449883
GH1.hmm	429	XP_011551788.1	498	4.8e-154	4	426	25	481	0.9836829836829837
GH1.hmm	429	XP_011553997.1	514	5.5e-145	2	427	28	495	0.9906759906759907
GH1.hmm	429	XP_011554237.1	523	9.4e-149	3	427	39	505	0.9883449883449883
GH1.hmm	429	XP_011554532.1	461	3.2e-127	3	396	25	456	0.916083916083916
GH1.hmm	429	XP_011556095.1	523	6.1e-149	3	427	39	505	0.9883449883449883
GH1.hmm	429	XP_011557578.1	505	9.1e-144	3	426	25	483	0.986013986013986
GH1.hmm	429	XP_011558678.1	506	5.2e-150	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_011558680.1	500	4.9e-150	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_011559164.1	540	6.3e-146	4	428	36	502	0.9883449883449883
GH1.hmm	429	XP_011559165.1	550	1.5e-150	4	428	35	503	0.9883449883449883
GH1.hmm	429	XP_011559181.1	517	1.1e-123	28	428	34	478	0.9324009324009324
GH1.hmm	429	XP_011560971.1	535	8.3e-148	4	428	31	497	0.9883449883449883
GH1.hmm	429	XP_011560972.1	535	1.1e-150	4	428	20	488	0.9883449883449883
GH1.hmm	429	XP_011560990.1	498	2.9e-144	4	428	21	487	0.9883449883449883
GH1.hmm	429	XP_011561511.1	430	4.5e-127	10	427	1	402	0.972027972027972
GH1.hmm	429	XP_011563308.1	503	2.1e-151	3	427	24	484	0.9883449883449883
GH1.hmm	429	XP_011564248.1	498	1.6e-153	4	426	25	481	0.9836829836829837
GH1.hmm	429	XP_011566332.1	477	3.7e-151	4	428	5	474	0.9883449883449883
GH1.hmm	429	XP_011566720.1	474	1.9e-150	4	428	3	470	0.9883449883449883
GH1.hmm	429	XP_011567270.1	388	4.7e-79	4	193	3	212	0.4405594405594406
GH1.hmm	429	XP_011567270.1	388	1.1e-46	254	408	211	386	0.358974358974359
GH1.hmm	429	XP_011567357.1	760	3.1e-133	1	428	303	757	0.9953379953379954
GH1.hmm	429	XP_011567408.1	339	2.1e-99	123	427	1	334	0.7086247086247086
GH1.hmm	429	XP_011567669.1	515	1.4e-145	3	427	25	487	0.9883449883449883
GH1.hmm	429	XP_011569365.1	509	3.5e-140	2	427	27	493	0.9906759906759907
