Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_014362015.1	GH1(32-494)+GH1(536-998)	GH1	GH1	N	3
XP_014362016.1	GH1(32-494)+GH1(689-1151)	GH1	GH1	N	3
XP_014362018.1	GH1(30-492)+GH1(551-1013)	GH1	GH1	N	3
XP_014362019.1	GH1(30-492)+GH1(538-1001)	GH1	GH1	N	3
XP_014362958.1	GH1(32-497)	GH1	GH1	N	3
XP_014364862.1	GH1(21-486)	GH1	GH1	N	3
XP_014364872.1	GH1(11-384)	N	GH1	N	2
XP_014364876.1	GH1(11-384)	N	GH1	N	2
XP_014364917.1	GH1(37-502)	GH1	GH1	N	3
XP_014364994.1	GH1(29-487)	GH1	GH1	N	3
XP_014366706.1	GH1(23-486)	GH1	GH1	N	3
XP_014366709.1	GH1(13-475)	GH1	GH1	N	3
XP_014367000.1	GH1(21-485)	GH1	GH1	N	3
XP_014367001.1	GH1(21-485)	GH1	GH1	N	3
XP_014367802.1	GH1(4-348)	N	GH1	N	2
XP_014367803.1	GH1(21-439)	GH1	GH1	N	3
XP_014367804.1	GH1(39-357)	GH1	GH1	N	3
XP_014367814.1	GH1(198-393)	GH1	GH1	N	3
XP_014370888.1	GH1(1-387)	GH1	GH1	N	3
XP_014371456.1	GH1(30-493)	GH1	GH1	N	3
