Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_021946758.1	GH1(29-490)	GH1	GH1	N	3
XP_021951691.1	GH1(44-502)	N	GH1	N	2
XP_021952145.1	GH1(24-514)	GH1	GH1	N	3
XP_021952675.1	GH1(37-501)	GH1	GH1	N	3
XP_021958966.1	GH1(26-481)	N	GH1	N	2
XP_021959021.1	GH1(31-494)	GH1	GH1	N	3
XP_021959023.1	GH1(28-491)	GH1	GH1	N	3
XP_021959703.1	GH1(80-290)	N	N	N	1
XP_021960669.1	GH1(96-354)	GH1	N	N	2
XP_021960701.1	GH1(33-461)	N	GH1	N	2
XP_021961403.1	GH1(26-490)	GH1	GH1	N	3
XP_021961442.1	GH1(32-209)	GH1	N	N	2
XP_021961902.1	GH1(28-503)	GH1	GH1	N	3
XP_021963506.1	GH1(27-493)	GH1	GH1	N	3
XP_021963511.1	GH1(27-490)	GH1	GH1	N	3
XP_021965144.1	GH1(7-301)	N	N	N	1
XP_021965145.1	GH1(11-195)	N	N	N	1
XP_021965237.1	GH1(80-545)	GH1	GH1	N	3
XP_021965239.1	GH1(31-492)	GH1	GH1	N	3
XP_021965243.1	GH1(28-493)	GH1	GH1	N	3
XP_021965263.1	GH1(31-492)	GH1	GH1	N	3
XP_021965266.1	GH1(18-446)	N	N	N	1
XP_021965304.1	GH1(11-479)	GH1	GH1	N	3
XP_021965305.1	GH1(11-479)	GH1	GH1	N	3
