HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_001850317.1	275	3.2e-72	66	247	1	189	0.4219114219114219
GH1.hmm	429	XP_001850318.1	920	1.6e-130	74	427	1	404	0.8228438228438228
GH1.hmm	429	XP_001850318.1	920	3.2e-153	2	427	437	880	0.9906759906759907
GH1.hmm	429	XP_001850319.1	534	2e-166	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_001850320.1	532	5.1e-166	2	428	22	487	0.993006993006993
GH1.hmm	429	XP_001850321.1	570	1.7e-160	3	427	57	522	0.9883449883449883
GH1.hmm	429	XP_001864159.1	267	1.4e-72	115	360	1	266	0.5710955710955711
GH1.hmm	429	XP_001864161.1	519	1.1e-137	2	427	17	449	0.9906759906759907
GH1.hmm	429	XP_001864465.1	510	9.5e-147	3	428	36	501	0.9906759906759907
GH1.hmm	429	XP_001864466.1	477	2e-133	4	396	47	477	0.9137529137529138
