HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_032510674.1	423	1.7e-137	10	396	1	423	0.8997668997668997
GH1.hmm	429	XP_032513180.1	522	9.4e-150	3	427	38	504	0.9883449883449883
GH1.hmm	429	XP_032523485.1	518	8.3e-152	3	426	25	488	0.986013986013986
GH1.hmm	429	XP_032523486.1	506	7.6e-152	3	426	13	476	0.986013986013986
GH1.hmm	429	XP_032523499.1	450	2.6e-140	2	395	17	449	0.916083916083916
GH1.hmm	429	XP_032523500.1	371	5.7e-111	2	298	17	341	0.6899766899766899
GH1.hmm	429	XP_032523501.1	497	1.6e-141	2	427	17	478	0.9906759906759907
GH1.hmm	429	XP_032523523.1	498	1e-147	3	426	13	473	0.986013986013986
GH1.hmm	429	XP_032523527.1	502	4.1e-148	2	427	17	483	0.9906759906759907
GH1.hmm	429	XP_032523564.1	450	4.6e-137	2	396	17	450	0.9184149184149184
GH1.hmm	429	XP_032523585.1	482	5.7e-139	3	427	2	466	0.9883449883449883
GH1.hmm	429	XP_032523586.1	417	3.7e-115	67	427	2	401	0.8391608391608392
GH1.hmm	429	XP_032524190.1	544	2.6e-123	25	427	56	498	0.9370629370629371
GH1.hmm	429	XP_032525939.1	514	5.8e-61	212	427	253	501	0.5011655011655012
GH1.hmm	429	XP_032526253.1	380	2e-57	234	426	153	379	0.44755244755244755
GH1.hmm	429	XP_032527041.1	529	1.5e-153	3	428	30	495	0.9906759906759907
GH1.hmm	429	XP_032528702.1	251	6e-89	4	216	26	240	0.49417249417249415
GH1.hmm	429	XP_032528982.1	504	4.1e-150	3	428	23	488	0.9906759906759907
GH1.hmm	429	XP_032529516.1	1013	1.2e-149	3	427	30	492	0.9883449883449883
GH1.hmm	429	XP_032529516.1	1013	3.5e-152	3	427	531	993	0.9883449883449883
GH1.hmm	429	XP_032529517.1	351	8.9e-87	107	427	1	332	0.745920745920746
GH1.hmm	429	XP_032529519.1	1023	8e-133	3	427	27	492	0.9883449883449883
GH1.hmm	429	XP_032529519.1	1023	5.5e-155	4	426	545	1003	0.9836829836829837
GH1.hmm	429	XP_032530179.1	508	1.9e-156	3	425	29	487	0.9836829836829837
