Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_019753989.1	GH1(23-481)	N	GH1	N	2
XP_019753990.1	GH1(23-417)	N	GH1	N	2
XP_019754716.1	GH1(1-305)	GH1	GH1	N	3
XP_019755616.1	GH1(24-487)	GH1	GH1	N	3
XP_019755904.1	GH1(27-495)	GH1	GH1	N	3
XP_019755905.1	GH1(28-490)	GH1	GH1	N	3
XP_019755906.1	GH1(18-480)	GH1	GH1	N	3
XP_019755907.1	GH1(19-481)	GH1	GH1	N	3
XP_019755936.1	GH1(46-513)	GH1	GH1	N	3
XP_019756934.1	GH1(19-320)	GH1	GH1	N	3
XP_019756936.1	GH1(19-467)	GH1	GH1	N	3
XP_019757344.1	GH1(27-490)	N	GH1	N	2
XP_019757500.1	GH1(22-484)	GH1	GH1	N	3
XP_019757617.1	GH1(21-417)	GH1	GH1	N	3
XP_019757624.1	GH1(19-481)	GH1	GH1	N	3
XP_019758264.1	GH1(21-487)	GH1	GH1	N	3
XP_019761744.1	GH1(40-504)	GH1	GH1	N	3
XP_019764449.1	GH1(22-488)	GH1	GH1	N	3
XP_019764511.1	GH1(29-482)	GH1	GH1	N	3
XP_019764512.1	GH1(29-483)	GH1	GH1	N	3
XP_019764591.1	GH1(31-491)	GH1	GH1	N	3
XP_019764592.1	GH1(24-485)	GH1	GH1	N	3
XP_019764658.1	GH1(27-492)	GH1	GH1	N	3
XP_019764667.1	GH1(19-464)	GH1	GH1	N	3
XP_019766466.1	GH1(21-483)	GH1	GH1	N	3
XP_019772434.1	GH1(13-320)	GH1	GH1	N	3
