Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_030751727.1	GH1(3-234)	N	N	N	1
XP_030752208.1	GH1(34-498)	GH1	GH1	N	3
XP_030752209.1	GH1(28-492)	GH1	GH1	N	3
XP_030752211.1	GH1(27-490)	GH1	GH1	N	3
XP_030753323.1	GH1(2-433)+GH1(472-932)	GH1	GH1	N	3
XP_030753325.1	GH1(20-475)+GH1(544-1004)	GH1	GH1	N	3
XP_030753399.1	GH1(22-485)	GH1	GH1	N	3
XP_030753401.1	GH1(19-479)	GH1	GH1	N	3
XP_030754216.1	GH1(25-373)	GH1	GH1	N	3
XP_030754217.1	GH1(28-491)	GH1	GH1	N	3
XP_030767112.1	GH1(24-472)	GH1	GH1	N	3
XP_030767119.1	GH1(20-468)	GH1	GH1	N	3
XP_030767120.1	GH1(20-372)	GH1	GH1	N	3
XP_030767121.1	GH1(20-404)	GH1	GH1	N	3
XP_030767645.1	GH1(27-490)	N	GH1	N	2
XP_030767746.1	GH1(2-210)	N	N	N	1
XP_030754215.1	N	GH1	N	N	1
