Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_026313554.1	ABK24806.1|GH1|	71.5	505	140	3	1	503	1	503	1.5e-226	783.9
XP_026316492.1	AXY94809.1|GH1|	55.2	487	213	3	3	484	4	490	1.2e-165	580.5
XP_026319443.1	SGZ49394.1|GH1|	74.1	506	129	2	24	528	21	525	3.4e-243	838.2
XP_026319716.1	AEW46881.1|GH1|	63.1	271	98	1	7	275	9	279	1.9e-107	386.3
XP_026319979.1	AEW46878.1|GH1|	66.2	468	157	1	37	503	26	493	2.0e-203	706.1
XP_026320223.1	AAP13852.1|GH1|3.2.1.21	80.0	480	96	0	1	480	1	480	4.2e-251	864.4
XP_026320224.1	AAP13852.1|GH1|3.2.1.21	77.3	480	92	1	1	463	1	480	5.2e-238	820.8
XP_026322188.1	BAG30785.1|GH1|	74.7	289	73	0	1	289	54	342	5.2e-141	498.0
XP_026322239.1	SGZ49382.1|GH1|	47.6	517	252	7	3	503	1	514	3.3e-140	496.1
XP_026322901.1	AEW46870.1|GH1|	57.5	513	207	7	7	511	6	515	2.3e-175	612.8
XP_026323140.1	ABK24806.1|GH1|	50.4	498	241	3	5	500	2	495	1.6e-147	520.4
XP_026323169.1	AEW46871.1|GH1|	70.3	478	139	2	21	496	23	499	3.3e-214	741.9
XP_026324189.1	AFO93777.1|GH1|	42.0	999	516	19	31	1009	938	1893	1.6e-233	807.0
XP_026324190.1	AEW46881.1|GH1|	62.5	506	187	3	18	521	5	509	9.0e-202	700.7
XP_026324191.1	CAA30801.1|GH1|3.2.1.108|3.2.1.62	40.7	1007	520	17	31	1024	903	1845	3.1e-224	776.2
XP_026331740.1	AEW46871.1|GH1|	48.9	356	182	0	22	377	19	374	1.5e-107	387.1
