HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_027837388.1	506	2.6e-128	4	427	7	497	0.986013986013986
GH1.hmm	429	XP_027837389.1	504	5.5e-123	3	427	6	496	0.9883449883449883
GH1.hmm	429	XP_027837390.1	508	4e-129	4	427	7	499	0.986013986013986
GH1.hmm	429	XP_027837401.1	527	3.8e-111	2	428	19	522	0.993006993006993
GH1.hmm	429	XP_027837404.1	525	7.9e-116	2	428	14	520	0.993006993006993
GH1.hmm	429	XP_027837405.1	438	2.2e-97	43	428	14	433	0.8974358974358975
GH1.hmm	429	XP_027837406.1	241	2.4e-61	2	183	14	240	0.4219114219114219
GH1.hmm	429	XP_027837408.1	217	1.5e-42	245	428	5	212	0.42657342657342656
GH1.hmm	429	XP_027837835.1	360	3.4e-66	2	264	32	343	0.6107226107226107
GH1.hmm	429	XP_027839518.1	466	5.2e-155	1	425	1	460	0.9883449883449883
GH1.hmm	429	XP_027839519.1	466	5.2e-155	1	425	1	460	0.9883449883449883
GH1.hmm	429	XP_027839550.1	371	1e-120	1	334	1	370	0.7762237762237763
GH1.hmm	429	XP_027839551.1	505	8.3e-154	1	425	38	498	0.9883449883449883
GH1.hmm	429	XP_027839553.1	505	8.3e-154	1	425	38	498	0.9883449883449883
GH1.hmm	429	XP_027839554.1	497	5e-146	1	425	38	490	0.9883449883449883
GH1.hmm	429	XP_027839555.1	459	4.4e-149	10	425	1	452	0.9673659673659674
GH1.hmm	429	XP_027839749.1	516	3e-142	10	426	1	496	0.9696969696969697
GH1.hmm	429	XP_027839750.1	516	3e-142	10	426	1	496	0.9696969696969697
GH1.hmm	429	XP_027839751.1	480	1.5e-129	46	426	42	460	0.8857808857808858
GH1.hmm	429	XP_027839752.1	436	2.9e-79	10	210	1	244	0.4662004662004662
GH1.hmm	429	XP_027844999.1	654	5.6e-124	32	427	200	638	0.9207459207459208
