Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_001943309.2	GH1(8-497)	N	N	N	1
XP_001946297.2	GH1(12-517)	GH1	N	N	2
XP_001946340.2	GH1(12-517)	GH1	N	N	2
XP_001946492.1	GH1(1-460)	GH1	GH1	N	3
XP_001952406.2	GH1(20-476)	GH1	GH1	N	3
XP_003244685.1	GH1(8-497)	GH1	N	N	2
XP_008189705.2	GH1(11-301)	GH1	GH1	N	3
XP_016659836.1	GH1(12-517)	GH1	N	N	2
XP_016660023.1	GH1(37-526)	GH1	N	N	2
XP_016661557.1	GH1(1-460)	GH1	GH1	N	3
XP_016661558.1	GH1(1-460)	GH1	GH1	N	3
XP_029345332.1	GH1(1-343)	N	N	N	1
XP_029345668.1	GH1(1-460)	GH1	GH1	N	3
XP_029345815.1	GH1(18-558)	GH1	GH1	N	3
XP_029347742.1	GH1(45-371)	N	N	N	1
