Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_022818242.1	AXY94809.1|GH1|	53.4	485	224	1	6	488	6	490	7.3e-171	597.8
XP_022818243.1	AXY94809.1|GH1|	53.6	487	221	2	1	482	4	490	7.2e-171	597.8
XP_022818244.1	AXY94809.1|GH1|	51.4	486	234	1	4	487	5	490	7.6e-160	561.2
XP_022818245.1	AXY94809.1|GH1|	46.9	486	206	2	4	437	5	490	1.5e-138	490.3
XP_022818246.1	AXY94809.1|GH1|	52.1	489	227	5	4	485	7	495	2.0e-152	536.6
XP_022818247.1	AXY94809.1|GH1|	54.5	470	211	3	20	486	21	490	2.6e-160	562.8
XP_022818485.1	AXY94809.1|GH1|	55.1	470	205	6	1	465	22	490	1.0e-153	540.8
XP_022818653.1	AXY94809.1|GH1|	53.3	501	224	6	1	496	1	496	2.4e-166	582.8
XP_022818654.1	AXY94809.1|GH1|	52.5	488	228	4	7	490	6	493	4.6e-157	552.0
XP_022818655.1	AFO93777.1|GH1|	40.0	995	550	18	14	987	913	1881	5.0e-219	758.8
XP_022820790.1	AEW46867.1|GH1|	70.4	506	148	2	3	507	1	505	1.3e-223	773.1
XP_022821775.1	AEW46878.1|GH1|	66.9	474	157	0	28	501	26	499	3.3e-203	705.3
XP_022822385.1	AAP13852.1|GH1|3.2.1.21	84.0	476	74	2	4	477	1	476	9.7e-256	879.8
XP_022822475.1	SGZ49394.1|GH1|	77.7	507	112	1	24	529	22	528	1.0e-250	863.2
XP_022825294.1	BAG30785.1|GH1|	66.7	523	168	4	1	520	12	531	4.2e-217	751.5
XP_022825432.1	BAG30785.1|GH1|	61.2	482	186	1	30	510	47	528	2.5e-190	662.5
XP_022827201.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	80.9	509	95	1	1	507	1	509	1.0e-256	884.0
XP_022827202.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	95.3	509	24	0	583	1091	1	509	2.6e-301	1032.3
XP_022827203.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	69.7	508	151	2	1	505	1	508	1.0e-222	771.2
XP_022827260.1	AAC06038.1|GH1|3.2.1.21|3.2.1.23|3.2.1.38|3.2.1.-	72.6	504	136	1	4	505	5	508	4.2e-230	794.7
XP_022827446.1	AEW46871.1|GH1|	48.0	477	245	3	25	499	23	498	2.3e-135	479.9
XP_022827475.1	AEW46881.1|GH1|	49.3	497	246	5	41	535	10	502	2.4e-143	506.5
XP_022827476.1	AEW46881.1|GH1|	49.3	497	246	5	7	501	10	502	3.9e-143	505.8
XP_022827478.1	AEW46881.1|GH1|	50.5	475	229	5	1	473	32	502	1.8e-142	503.4
XP_022827479.1	AEW46881.1|GH1|	50.5	475	229	5	1	473	32	502	1.8e-142	503.4
XP_022827607.1	AEW46871.1|GH1|	67.6	487	156	1	25	511	25	509	1.2e-211	733.4
XP_022830560.1	ABK24806.1|GH1|	62.8	503	187	0	20	522	1	503	4.1e-204	708.4
XP_022833294.1	ALS36080.1|GH1|	90.6	298	28	0	1	298	181	478	2.8e-165	578.6
XP_022833531.1	ALS02814.1|GH1|	96.6	295	10	0	1	295	182	476	9.7e-171	596.7
XP_022833696.1	ALS36119.1|GH1|	93.3	481	32	0	1	481	1	481	1.3e-276	949.1
XP_022833742.1	ALS36021.1|GH1|	94.0	436	26	0	1	436	31	466	8.5e-256	879.8
XP_022833751.1	ALS36002.1|GH1|	96.4	476	17	0	1	476	1	476	3.7e-289	990.7
XP_022833797.1	ALS37324.1|GH1|	82.4	448	57	2	1	426	1	448	1.5e-227	786.2
XP_022833843.1	ALR99934.1|GH1|	89.8	480	49	0	1	480	1	480	1.3e-268	922.5
XP_022833885.1	ALS38543.1|GH1|	93.1	481	33	0	1	481	1	481	6.4e-281	963.4
XP_022835024.1	ALS00409.1|GH1|	96.0	476	19	0	1	476	1	476	2.0e-282	968.4
XP_022835647.1	AUD02801.1|GH1|	58.3	441	182	1	22	462	2	440	3.2e-168	589.0
