HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_014362015.1	1017	2.9e-156	3	427	32	494	0.9883449883449883
GH1.hmm	429	XP_014362015.1	1017	1.5e-157	3	427	536	998	0.9883449883449883
GH1.hmm	429	XP_014362016.1	1170	8.8e-151	3	427	32	494	0.9883449883449883
GH1.hmm	429	XP_014362016.1	1170	1.9e-150	3	427	689	1151	0.9883449883449883
GH1.hmm	429	XP_014362018.1	1032	2.5e-153	3	427	30	492	0.9883449883449883
GH1.hmm	429	XP_014362018.1	1032	2.6e-151	3	427	551	1013	0.9883449883449883
GH1.hmm	429	XP_014362019.1	1020	1.7e-147	3	427	30	492	0.9883449883449883
GH1.hmm	429	XP_014362019.1	1020	8.3e-146	2	427	538	1001	0.9906759906759907
GH1.hmm	429	XP_014362958.1	531	1.1e-154	3	428	32	497	0.9906759906759907
GH1.hmm	429	XP_014364862.1	505	3.9e-154	2	427	21	486	0.9906759906759907
GH1.hmm	429	XP_014364872.1	405	5.5e-104	86	427	11	384	0.7948717948717948
GH1.hmm	429	XP_014364876.1	405	5.5e-104	86	427	11	384	0.7948717948717948
GH1.hmm	429	XP_014364917.1	521	7.8e-153	2	427	37	502	0.9906759906759907
GH1.hmm	429	XP_014364994.1	495	1.8e-156	4	426	29	487	0.9836829836829837
GH1.hmm	429	XP_014366706.1	522	3.6e-148	3	427	23	486	0.9883449883449883
GH1.hmm	429	XP_014366709.1	513	5.3e-153	3	426	13	475	0.986013986013986
GH1.hmm	429	XP_014367000.1	504	9.8e-152	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_014367001.1	501	9.5e-152	3	427	21	485	0.9883449883449883
GH1.hmm	429	XP_014367802.1	403	4.4e-85	128	427	4	348	0.696969696969697
GH1.hmm	429	XP_014367803.1	459	1.4e-128	3	427	21	439	0.9883449883449883
GH1.hmm	429	XP_014367804.1	416	1.1e-106	3	298	39	357	0.6876456876456877
GH1.hmm	429	XP_014367814.1	401	1.1e-51	255	428	198	393	0.40326340326340326
GH1.hmm	429	XP_014370888.1	405	6.5e-110	82	427	1	387	0.8041958041958042
GH1.hmm	429	XP_014371456.1	558	3.3e-155	2	426	30	493	0.9883449883449883
